# Observation File: surface_outlet_flux.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface outlet flux
# Region: surface outlet
# Functional: extensive integral
# Variable: surface-mass_flux
# Number of Vectors: 1
# =============================================================================
"time [s]" "surface outlet flux"
0.000000000000e+00 0.000000000000e+00
6.000000000000e+02 3.521583418951e-02
1.200000000000e+03 9.313504008550e+00
1.800000000000e+03 9.477716917595e+01
2.400000000000e+03 1.613528309825e+02
3.000000000000e+03 1.825781061418e+02
3.600000000000e+03 2.031295053950e+02
4.200000000000e+03 2.255823569935e+02
4.800000000000e+03 2.462021880752e+02
5.400000000000e+03 2.696560810998e+02
6.000000000000e+03 2.966238217012e+02
6.600000000000e+03 3.255849812963e+02
7.200000000000e+03 3.810874101747e+02
7.800000000000e+03 4.383787636349e+02
8.400000000000e+03 4.904597021210e+02
9.000000000000e+03 5.409509513699e+02
9.600000000000e+03 5.550783368666e+02
1.020000000000e+04 5.550837857605e+02
1.080000000000e+04 5.550838171967e+02
1.140000000000e+04 5.550835806909e+02
1.200000000000e+04 5.550837379418e+02
1.260000000000e+04 5.550837342519e+02
1.320000000000e+04 5.550837578089e+02
1.380000000000e+04 5.550837813659e+02
1.440000000000e+04 5.550838049230e+02
1.500000000000e+04 5.550838284799e+02
1.560000000000e+04 5.550837355757e+02
1.620000000000e+04 5.550836229120e+02
1.680000000000e+04 5.550835903411e+02
1.740000000000e+04 5.550836973979e+02
1.800000000000e+04 5.550837320958e+02
1.860000000000e+04 5.550837357483e+02
1.920000000000e+04 5.550837290019e+02
1.980000000000e+04 5.550837325997e+02
2.040000000000e+04 5.550837013636e+02
2.100000000000e+04 5.550837612726e+02
2.160000000000e+04 5.550837382137e+02
2.220000000000e+04 5.550837342327e+02
2.280000000000e+04 5.550837713068e+02
2.340000000000e+04 5.550836736940e+02
2.400000000000e+04 5.550837516691e+02
2.460000000000e+04 5.550837731290e+02
2.520000000000e+04 5.550837945890e+02
2.580000000000e+04 5.550837248786e+02
2.640000000000e+04 5.550837118532e+02
2.700000000000e+04 5.550836988279e+02
2.760000000000e+04 5.550836858025e+02
2.820000000000e+04 5.550838003550e+02
2.880000000000e+04 5.550836516699e+02
2.940000000000e+04 5.550838270345e+02
3.000000000000e+04 5.550837798555e+02
3.060000000000e+04 5.550836738558e+02
3.120000000000e+04 5.550837371308e+02
3.180000000000e+04 5.550837079207e+02
3.240000000000e+04 5.550836787106e+02
3.300000000000e+04 5.550836783819e+02
3.360000000000e+04 5.550837965411e+02
3.420000000000e+04 5.550836646820e+02
3.480000000000e+04 5.550837328583e+02
3.540000000000e+04 5.550837463441e+02
3.600000000000e+04 5.550837598299e+02
3.660000000000e+04 6.208251432435e+01
3.720000000000e+04 4.357280109684e+01
3.780000000000e+04 3.746397282265e+01
3.840000000000e+04 3.369012357627e+01
3.900000000000e+04 2.984658733904e+01
3.960000000000e+04 2.591700408408e+01
4.020000000000e+04 2.243017658019e+01
4.080000000000e+04 1.978317157826e+01
4.140000000000e+04 1.780476719135e+01
4.200000000000e+04 1.622475125321e+01
4.260000000000e+04 1.498889304663e+01
4.320000000000e+04 1.396044855420e+01
4.380000000000e+04 1.305078315021e+01
4.440000000000e+04 1.222481450767e+01
4.500000000000e+04 1.146881714855e+01
4.560000000000e+04 1.076858067316e+01
4.620000000000e+04 1.010288892251e+01
4.680000000000e+04 9.474845356724e+00
4.740000000000e+04 8.888411420028e+00
4.800000000000e+04 8.351029118239e+00
4.860000000000e+04 7.865599084307e+00
4.920000000000e+04 7.426683340946e+00
4.980000000000e+04 7.035629900867e+00
5.040000000000e+04 6.686303803305e+00
5.100000000000e+04 6.374751829457e+00
5.160000000000e+04 6.093923977777e+00
5.220000000000e+04 5.842457991735e+00
5.280000000000e+04 5.614008650739e+00
5.340000000000e+04 5.409213607558e+00
5.400000000000e+04 5.223785334786e+00
5.460000000000e+04 5.053396504945e+00
5.520000000000e+04 4.899015131949e+00
5.580000000000e+04 4.757699264847e+00
5.640000000000e+04 4.631356922374e+00
5.700000000000e+04 4.515689225934e+00
5.760000000000e+04 4.409030639317e+00
5.820000000000e+04 4.311162819513e+00
5.880000000000e+04 4.219894529455e+00
5.940000000000e+04 4.133986124524e+00
6.000000000000e+04 4.052722397366e+00
6.060000000000e+04 3.977538227445e+00
6.120000000000e+04 3.909543184208e+00
6.180000000000e+04 3.846398878655e+00
6.240000000000e+04 3.787572331453e+00
6.300000000000e+04 3.729038268437e+00
6.360000000000e+04 3.675095815764e+00
6.420000000000e+04 3.623717576152e+00
6.480000000000e+04 3.575297898300e+00
6.540000000000e+04 3.530179172442e+00
6.600000000000e+04 3.486280453364e+00
6.660000000000e+04 3.444246582762e+00
6.720000000000e+04 3.404092404791e+00
6.780000000000e+04 3.365280327528e+00
6.840000000000e+04 3.327965667530e+00
6.900000000000e+04 3.291656407499e+00
