# Observation File: observation_flux.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: observation mass flux
# Region: observation region
# Functional: extensive integral
# Variable: mass_flux
# Number of Vectors: 1
# =============================================================================
"time [s]" "observation mass flux"
0.000000000000e+00 1.475712404037e-15
6.000000000000e+02 1.475712424607e-15
1.200000000000e+03 1.475712445177e-15
1.800000000000e+03 1.475712465746e-15
2.400000000000e+03 1.475712486313e-15
3.000000000000e+03 1.475712506879e-15
3.600000000000e+03 1.475712527791e-15
4.200000000000e+03 1.475712548526e-15
4.800000000000e+03 1.475712569095e-15
5.400000000000e+03 1.475712590004e-15
6.000000000000e+03 1.475712610574e-15
6.600000000000e+03 1.475712631144e-15
7.200000000000e+03 1.475712651710e-15
7.800000000000e+03 1.475712672454e-15
8.400000000000e+03 1.475712693189e-15
9.000000000000e+03 1.475712713594e-15
9.600000000000e+03 1.475712734163e-15
1.020000000000e+04 1.475712754739e-15
1.080000000000e+04 1.475712775309e-15
1.140000000000e+04 1.475712795879e-15
1.200000000000e+04 1.475712816448e-15
1.260000000000e+04 1.475712837183e-15
1.320000000000e+04 1.475712857749e-15
1.380000000000e+04 1.475712878319e-15
1.440000000000e+04 1.475712898898e-15
1.500000000000e+04 1.475712919468e-15
1.560000000000e+04 1.475712940034e-15
1.620000000000e+04 1.475712960769e-15
1.680000000000e+04 1.475712981342e-15
1.740000000000e+04 1.475713001918e-15
1.800000000000e+04 1.475713022484e-15
1.860000000000e+04 1.475713043060e-15
1.920000000000e+04 1.475713063795e-15
1.980000000000e+04 1.475713084529e-15
2.040000000000e+04 1.475713105432e-15
2.100000000000e+04 1.475713126173e-15
2.160000000000e+04 1.475713146742e-15
2.220000000000e+04 1.475713167477e-15
2.280000000000e+04 1.475713188043e-15
2.340000000000e+04 1.475713208619e-15
2.400000000000e+04 1.475713229354e-15
2.460000000000e+04 1.475713250088e-15
2.520000000000e+04 1.475713270829e-15
2.580000000000e+04 1.475713291395e-15
2.640000000000e+04 1.475713312301e-15
2.700000000000e+04 1.475713333036e-15
2.760000000000e+04 1.475713353776e-15
2.820000000000e+04 1.475713374511e-15
2.880000000000e+04 1.475713395245e-15
2.940000000000e+04 1.475713415983e-15
3.000000000000e+04 1.475713436556e-15
3.060000000000e+04 1.475713457126e-15
3.120000000000e+04 1.475713477695e-15
3.180000000000e+04 1.475713498439e-15
3.240000000000e+04 1.475713519009e-15
3.300000000000e+04 1.475713539575e-15
3.360000000000e+04 1.475713560145e-15
3.420000000000e+04 1.475713580880e-15
3.480000000000e+04 1.475713601449e-15
3.540000000000e+04 1.475713622184e-15
3.600000000000e+04 1.475713642760e-15
3.660000000000e+04 1.475713663329e-15
3.720000000000e+04 1.475713683899e-15
3.780000000000e+04 1.475713704634e-15
3.840000000000e+04 1.475713725213e-15
3.900000000000e+04 1.475713745779e-15
3.960000000000e+04 1.475713766682e-15
4.020000000000e+04 1.475713787416e-15
4.080000000000e+04 1.475713808160e-15
4.140000000000e+04 1.475713828727e-15
4.200000000000e+04 1.475713849461e-15
4.260000000000e+04 1.475713870205e-15
4.320000000000e+04 1.475713890775e-15
4.380000000000e+04 1.475713911509e-15
4.440000000000e+04 1.475713932079e-15
4.500000000000e+04 1.475713952814e-15
4.560000000000e+04 1.475713973548e-15
4.620000000000e+04 1.475713994118e-15
4.680000000000e+04 1.475714014852e-15
4.740000000000e+04 1.475714035428e-15
4.800000000000e+04 1.475714055998e-15
4.860000000000e+04 1.475714076732e-15
4.920000000000e+04 1.475714097312e-15
4.980000000000e+04 1.475714117881e-15
5.040000000000e+04 1.475714138616e-15
5.100000000000e+04 1.475714159182e-15
5.160000000000e+04 1.475714179762e-15
5.220000000000e+04 1.475714200331e-15
5.280000000000e+04 1.475714220898e-15
5.340000000000e+04 1.475714241467e-15
5.400000000000e+04 1.475714262208e-15
5.460000000000e+04 1.475714282781e-15
5.520000000000e+04 1.475714303516e-15
5.580000000000e+04 1.475714324415e-15
5.640000000000e+04 1.475714344984e-15
5.700000000000e+04 1.475714365719e-15
5.760000000000e+04 1.475714386453e-15
5.820000000000e+04 1.475714407197e-15
5.880000000000e+04 1.475714427932e-15
5.940000000000e+04 1.475714448502e-15
6.000000000000e+04 1.475714469236e-15
6.060000000000e+04 1.475714490142e-15
6.120000000000e+04 1.475714510715e-15
6.180000000000e+04 1.475714531449e-15
6.240000000000e+04 1.475714552022e-15
6.300000000000e+04 1.475714572595e-15
6.360000000000e+04 1.475714593329e-15
6.420000000000e+04 1.475714614064e-15
6.480000000000e+04 1.475714634640e-15
6.540000000000e+04 1.475714655209e-15
6.600000000000e+04 1.475714675944e-15
6.660000000000e+04 1.475714696510e-15
6.720000000000e+04 1.475714717248e-15
6.780000000000e+04 1.475714737821e-15
6.840000000000e+04 1.475714758555e-15
6.900000000000e+04 1.475714779128e-15
6.960000000000e+04 1.475714799863e-15
7.020000000000e+04 1.475714820432e-15
7.080000000000e+04 1.475714841167e-15
7.140000000000e+04 1.475714861911e-15
7.200000000000e+04 1.475714882481e-15
7.260000000000e+04 1.475714903215e-15
7.320000000000e+04 1.475714923781e-15
7.380000000000e+04 1.475714944361e-15
7.440000000000e+04 1.475714964930e-15
7.500000000000e+04 1.475714985665e-15
7.560000000000e+04 1.475715006244e-15
7.620000000000e+04 1.475715026979e-15
7.680000000000e+04 1.475715047545e-15
7.740000000000e+04 1.475715068280e-15
7.800000000000e+04 1.475715088849e-15
7.860000000000e+04 1.475715109419e-15
7.920000000000e+04 1.475715129989e-15
7.980000000000e+04 1.475715150723e-15
8.040000000000e+04 1.475715171299e-15
8.100000000000e+04 1.475715192034e-15
8.160000000000e+04 1.475715212768e-15
8.220000000000e+04 1.475715233347e-15
8.280000000000e+04 1.475715254082e-15
8.340000000000e+04 1.475715274651e-15
8.400000000000e+04 1.475715295386e-15
8.460000000000e+04 1.475715316130e-15
8.520000000000e+04 1.475715336864e-15
8.580000000000e+04 1.475715357599e-15
8.640000000000e+04 1.475715378333e-15
8.700000000000e+04 1.475715398913e-15
8.760000000000e+04 1.475715419647e-15
8.820000000000e+04 1.475715440214e-15
8.880000000000e+04 1.475715460783e-15
8.940000000000e+04 1.475715481353e-15
9.000000000000e+04 1.475715502087e-15
9.060000000000e+04 1.475715522654e-15
9.120000000000e+04 1.475715543398e-15
9.180000000000e+04 1.475715564300e-15
9.240000000000e+04 1.475715584867e-15
9.300000000000e+04 1.475715605608e-15
9.360000000000e+04 1.475715626181e-15
9.420000000000e+04 1.475715646918e-15
9.480000000000e+04 1.475715667653e-15
9.540000000000e+04 1.475715688226e-15
9.600000000000e+04 1.475715708795e-15
9.660000000000e+04 1.475715729362e-15
9.720000000000e+04 1.475715750099e-15
9.780000000000e+04 1.475715770679e-15
9.840000000000e+04 1.475715791413e-15
9.900000000000e+04 1.475715812148e-15
9.960000000000e+04 1.475715832714e-15
1.002000000000e+05 1.475715853448e-15
1.008000000000e+05 1.475715874183e-15
1.014000000000e+05 1.475715894756e-15
1.020000000000e+05 1.475715915497e-15
1.026000000000e+05 1.475715936066e-15
1.032000000000e+05 1.475715956636e-15
1.038000000000e+05 1.475715977370e-15
1.044000000000e+05 1.475715997947e-15
1.050000000000e+05 1.475716018516e-15
1.056000000000e+05 1.475716039086e-15
1.062000000000e+05 1.475716059830e-15
1.068000000000e+05 1.475716080564e-15
1.074000000000e+05 1.475716101131e-15
1.080000000000e+05 1.475716121865e-15
1.086000000000e+05 1.475716142609e-15
1.092000000000e+05 1.475716163344e-15
1.098000000000e+05 1.475716184078e-15
1.104000000000e+05 1.475716204648e-15
1.110000000000e+05 1.475716225382e-15
1.116000000000e+05 1.475716245952e-15
1.122000000000e+05 1.475716266687e-15
1.128000000000e+05 1.475716287266e-15
1.134000000000e+05 1.475716307832e-15
1.140000000000e+05 1.475716328567e-15
1.146000000000e+05 1.475716349136e-15
1.152000000000e+05 1.475716369881e-15
1.158000000000e+05 1.475716390615e-15
1.164000000000e+05 1.475716411349e-15
1.170000000000e+05 1.475716432084e-15
1.176000000000e+05 1.475716452663e-15
1.182000000000e+05 1.475716473398e-15
1.188000000000e+05 1.475716493967e-15
1.194000000000e+05 1.475716514708e-15
1.200000000000e+05 1.475716535446e-15
1.206000000000e+05 1.475716556012e-15
1.212000000000e+05 1.475716576747e-15
1.218000000000e+05 1.475716597320e-15
1.224000000000e+05 1.475716618054e-15
1.230000000000e+05 1.475716638953e-15
1.236000000000e+05 1.475716659523e-15
1.242000000000e+05 1.475716680267e-15
1.248000000000e+05 1.475716701002e-15
1.254000000000e+05 1.475716721568e-15
1.260000000000e+05 1.475716742309e-15
1.266000000000e+05 1.475716762879e-15
1.272000000000e+05 1.475716783616e-15
1.278000000000e+05 1.475716804351e-15
1.284000000000e+05 1.475716824927e-15
1.290000000000e+05 1.475716845661e-15
1.296000000000e+05 1.475716866231e-15
1.302000000000e+05 1.475716886797e-15
1.308000000000e+05 1.475716907377e-15
1.314000000000e+05 1.475716928111e-15
1.320000000000e+05 1.475716948681e-15
1.326000000000e+05 1.475716969415e-15
1.332000000000e+05 1.475716989982e-15
1.338000000000e+05 1.475717010551e-15
1.344000000000e+05 1.475717031289e-15
1.350000000000e+05 1.475717051865e-15
