# Observation File: water_balance.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: runoff [mol d^-1]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: runoff subsurface [mol d^-1]
# Region: lakeside
# Reduction: extensive integral
# Variable: water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: irrigation [m d^-1]
# Region: surface domain
# Reduction: integral
# Variable: surface-water_source
# Number of Vectors: 1
# =============================================================================
"time [d]","surface water content [mol]","subsurface water content [mol]","runoff [mol d^-1]","runoff subsurface [mol d^-1]","irrigation [m d^-1]"
0.000000000000e+00,5.642838486194e+06,8.018569072038e+07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4.166666666667e-02,5.642808926340e+06,8.018561147428e+07,0.000000000000e+00,1.088058639181e+02,0.000000000000e+00
8.333333333333e-02,5.642780265176e+06,8.018553135420e+07,0.000000000000e+00,1.087812410512e+02,0.000000000000e+00
1.250000000000e-01,5.642752670783e+06,8.018545019687e+07,0.000000000000e+00,1.087509684184e+02,0.000000000000e+00
1.666666666667e-01,5.642726159311e+06,8.018536799286e+07,0.000000000000e+00,1.087173582359e+02,0.000000000000e+00
2.083333333333e-01,5.642700653388e+06,8.018528481846e+07,0.000000000000e+00,1.086818202872e+02,0.000000000000e+00
2.500000000000e-01,5.642676027179e+06,8.018520080068e+07,0.000000000000e+00,1.086451788366e+02,0.000000000000e+00
2.916666666667e-01,5.642652133221e+06,8.018511608762e+07,0.000000000000e+00,1.086079115960e+02,0.000000000000e+00
3.333333333333e-01,5.642628823905e+06,8.018503082729e+07,0.000000000000e+00,1.085702977410e+02,0.000000000000e+00
3.750000000000e-01,5.642605964154e+06,8.018494515501e+07,0.000000000000e+00,1.085325025132e+02,0.000000000000e+00
4.166666666667e-01,5.642583436748e+06,8.018485918810e+07,0.000000000000e+00,1.084946249234e+02,0.000000000000e+00
4.583333333333e-01,5.642561142423e+06,8.018477302587e+07,0.000000000000e+00,1.084567252936e+02,0.000000000000e+00
5.000000000000e-01,5.642538996337e+06,8.018468675283e+07,0.000000000000e+00,1.084188419675e+02,0.000000000000e+00
5.416666666667e-01,5.642516923708e+06,8.018460044419e+07,0.000000000000e+00,1.083810023257e+02,0.000000000000e+00
5.833333333333e-01,5.642494850715e+06,8.018451417368e+07,0.000000000000e+00,1.083432314537e+02,0.000000000000e+00
6.250000000000e-01,5.642472691466e+06,8.018442802706e+07,0.000000000000e+00,1.083055621066e+02,0.000000000000e+00
6.666666666667e-01,5.642450308987e+06,8.018434214086e+07,0.000000000000e+00,1.082680582483e+02,0.000000000000e+00
7.083333333333e-01,5.642429518447e+06,8.018425470245e+07,0.000000000000e+00,1.082289649651e+02,0.000000000000e+00
7.500000000000e-01,5.642409118272e+06,8.018416691318e+07,0.000000000000e+00,1.081895860869e+02,0.000000000000e+00
7.916666666667e-01,5.642388867121e+06,8.018407901409e+07,0.000000000000e+00,1.081502260610e+02,0.000000000000e+00
8.333333333333e-01,5.642368737112e+06,8.018399103344e+07,0.000000000000e+00,1.081108321668e+02,0.000000000000e+00
8.750000000000e-01,5.642348701034e+06,8.018390299838e+07,0.000000000000e+00,1.080713666433e+02,0.000000000000e+00
9.166666666667e-01,5.642328737873e+06,8.018381492998e+07,0.000000000000e+00,1.080318103679e+02,0.000000000000e+00
9.583333333333e-01,5.642308831903e+06,8.018372684407e+07,0.000000000000e+00,1.079921501614e+02,0.000000000000e+00
1.000000000000e+00,5.642288971435e+06,8.018363875242e+07,0.000000000000e+00,1.079523749482e+02,0.000000000000e+00
1.041666666667e+00,5.642269148242e+06,8.020335066334e+07,0.000000000000e+00,1.079124766186e+02,3.600000000000e-01
1.083333333333e+00,5.642249356243e+06,8.022306258313e+07,0.000000000000e+00,1.078724467858e+02,3.600000000000e-01
1.125000000000e+00,5.642229590053e+06,8.024277451696e+07,0.000000000000e+00,1.078322763535e+02,3.600000000000e-01
1.166666666667e+00,5.642209845305e+06,8.026248647048e+07,0.000000000000e+00,1.077919567971e+02,3.600000000000e-01
1.208333333333e+00,5.642190118491e+06,8.028219844582e+07,0.000000000000e+00,1.077514802820e+02,3.600000000000e-01
1.250000000000e+00,5.642170408398e+06,8.030191044507e+07,0.000000000000e+00,1.077108404794e+02,3.600000000000e-01
1.291666666667e+00,5.642150713541e+06,8.032162246990e+07,0.000000000000e+00,1.076700319335e+02,3.600000000000e-01
1.333333333333e+00,5.642131031252e+06,8.034133452314e+07,0.000000000000e+00,1.076290481631e+02,3.600000000000e-01
1.375000000000e+00,5.642111359427e+06,8.036104660708e+07,0.000000000000e+00,1.075878832366e+02,3.600000000000e-01
1.416666666667e+00,5.642091696420e+06,8.038075873047e+07,0.000000000000e+00,1.075465317548e+02,3.600000000000e-01
1.458333333333e+00,5.642072040910e+06,8.040047088663e+07,0.000000000000e+00,1.075049887667e+02,3.600000000000e-01
1.500000000000e+00,5.642052391829e+06,8.042018307702e+07,0.000000000000e+00,1.074632497436e+02,3.600000000000e-01
1.541666666667e+00,5.642032748292e+06,8.043989530197e+07,0.000000000000e+00,1.074213105666e+02,3.600000000000e-01
1.583333333333e+00,5.642013109563e+06,8.045960756291e+07,0.000000000000e+00,1.073791675159e+02,3.600000000000e-01
1.625000000000e+00,5.641993475022e+06,8.047931986147e+07,0.000000000000e+00,1.073368172606e+02,3.600000000000e-01
1.666666666667e+00,5.641973844142e+06,8.049903219877e+07,0.000000000000e+00,1.072942568480e+02,3.600000000000e-01
1.708333333333e+00,5.641954216470e+06,8.051874457552e+07,0.000000000000e+00,1.072514836940e+02,3.600000000000e-01
1.750000000000e+00,5.641934591620e+06,8.053845699228e+07,0.000000000000e+00,1.072084955737e+02,3.600000000000e-01
1.791666666667e+00,5.641914969255e+06,8.055816944962e+07,0.000000000000e+00,1.071652906112e+02,3.600000000000e-01
1.833333333333e+00,5.641895349082e+06,8.057788194811e+07,0.000000000000e+00,1.071218672706e+02,3.600000000000e-01
1.875000000000e+00,5.641875730847e+06,8.059759448826e+07,0.000000000000e+00,1.070782243468e+02,3.600000000000e-01
1.916666666667e+00,5.641856114327e+06,8.061730707054e+07,0.000000000000e+00,1.070343609559e+02,3.600000000000e-01
1.958333333333e+00,5.641836499324e+06,8.063701969538e+07,0.000000000000e+00,1.069902765254e+02,3.600000000000e-01
2.000000000000e+00,5.641816885668e+06,8.065673236315e+07,0.000000000000e+00,1.069459707854e+02,3.600000000000e-01
2.041666666667e+00,5.641797273204e+06,8.067644507424e+07,0.000000000000e+00,1.069014437584e+02,3.600000000000e-01
2.083333333333e+00,5.641777661799e+06,8.069615782901e+07,0.000000000000e+00,1.068566957503e+02,3.600000000000e-01
2.125000000000e+00,5.641758051335e+06,8.071587062781e+07,0.000000000000e+00,1.068117273401e+02,3.600000000000e-01
2.166666666667e+00,5.641738441705e+06,8.073558347095e+07,0.000000000000e+00,1.067665393708e+02,3.600000000000e-01
2.208333333333e+00,5.641718832816e+06,8.075529635875e+07,0.000000000000e+00,1.067211329392e+02,3.600000000000e-01
2.250000000000e+00,5.641699224586e+06,8.077500929151e+07,0.000000000000e+00,1.066755093863e+02,3.600000000000e-01
2.291666666667e+00,5.641679616944e+06,8.079472226951e+07,0.000000000000e+00,1.066296688516e+02,3.600000000000e-01
2.333333333333e+00,5.641660009829e+06,8.081443529303e+07,0.000000000000e+00,1.065836133893e+02,3.600000000000e-01
2.375000000000e+00,5.641640403188e+06,8.083414836234e+07,0.000000000000e+00,1.065373454323e+02,3.600000000000e-01
2.416666666667e+00,5.641620796977e+06,8.085386147769e+07,0.000000000000e+00,1.064908672454e+02,3.600000000000e-01
2.458333333333e+00,5.641601191155e+06,8.087357463934e+07,0.000000000000e+00,1.064441812370e+02,3.600000000000e-01
2.500000000000e+00,5.641581585691e+06,8.089328784752e+07,0.000000000000e+00,1.063972899940e+02,3.600000000000e-01
2.541666666667e+00,5.641561980555e+06,8.091300110247e+07,0.000000000000e+00,1.063501962787e+02,3.600000000000e-01
2.583333333333e+00,5.641542375722e+06,8.093271440440e+07,0.000000000000e+00,1.063029030196e+02,3.600000000000e-01
2.625000000000e+00,5.641522771172e+06,8.095242775354e+07,0.000000000000e+00,1.062554133033e+02,3.600000000000e-01
2.666666666667e+00,5.641503166886e+06,8.097214115011e+07,0.000000000000e+00,1.062077303651e+02,3.600000000000e-01
2.708333333333e+00,5.641483562849e+06,8.099185459429e+07,0.000000000000e+00,1.061598575811e+02,3.600000000000e-01
2.750000000000e+00,5.641463959048e+06,8.101156808630e+07,0.000000000000e+00,1.061117984584e+02,3.600000000000e-01
2.791666666667e+00,5.641444355526e+06,8.103128162626e+07,0.000000000000e+00,1.060635564930e+02,3.600000000000e-01
2.833333333333e+00,5.641424752364e+06,8.105099521429e+07,0.000000000000e+00,1.060151354852e+02,3.600000000000e-01
2.875000000000e+00,5.641405149637e+06,8.107070885048e+07,0.000000000000e+00,1.059665392964e+02,3.600000000000e-01
2.916666666667e+00,5.641385547399e+06,8.109042253495e+07,0.000000000000e+00,1.059177722180e+02,3.600000000000e-01
2.958333333333e+00,5.641365945685e+06,8.111013626783e+07,0.000000000000e+00,1.058688383421e+02,3.600000000000e-01
3.000000000000e+00,5.641346344509e+06,8.112985004926e+07,0.000000000000e+00,1.058197418030e+02,3.600000000000e-01
3.041666666667e+00,5.641326743874e+06,8.112976388200e+07,0.000000000000e+00,1.057704868093e+02,0.000000000000e+00
3.083333333333e+00,5.641307143776e+06,8.112967776102e+07,0.000000000000e+00,1.057210776398e+02,0.000000000000e+00
