# Observation File: water_balance.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: runoff surface [mol d^-1]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: runoff subsurface [mol d^-1]
# Region: lakeside
# Reduction: extensive integral
# Variable: water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain precipitation [m d^-1]
# Region: surface domain
# Reduction: integral
# Variable: surface-water_source
# Number of Vectors: 1
# =============================================================================
"time [d]","surface water content [mol]","subsurface water content [mol]","runoff surface [mol d^-1]","runoff subsurface [mol d^-1]","rain precipitation [m d^-1]"
0.000000000000e+00,0.000000000000e+00,9.237945727075e+07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.157407407407e-05,0.000000000000e+00,9.237945726476e+07,0.000000000000e+00,3.340456515325e-02,5.000000000000e-07
2.314814814815e-05,0.000000000000e+00,9.237945725905e+07,0.000000000000e+00,3.321467231948e-02,5.000000000000e-07
3.472222222222e-05,0.000000000000e+00,9.237945725314e+07,0.000000000000e+00,3.302477948761e-02,5.000000000000e-07
4.918981481481e-05,0.000000000000e+00,9.237945724548e+07,0.000000000000e+00,4.098426681307e-02,6.250000000000e-07
6.727430555556e-05,0.000000000000e+00,9.237945723548e+07,0.000000000000e+00,5.076672798156e-02,7.812500000000e-07
9.553132233796e-05,0.000000000000e+00,9.237945721892e+07,0.000000000000e+00,7.819116304378e-02,1.220703125000e-06
1.507208082411e-04,0.000000000000e+00,9.237945720059e+07,0.000000000000e+00,1.494347373240e-01,2.384185791016e-06
2.854607640593e-04,0.000000000000e+00,9.237945717200e+07,0.000000000000e+00,3.485037737244e-01,5.820766091347e-06
6.966544768834e-04,0.000000000000e+00,9.237945718100e+07,0.000000000000e+00,9.679914462909e-01,1.776356839400e-05
2.265234008836e-03,0.000000000000e+00,9.237945754967e+07,0.000000000000e+00,3.225085651158e+00,6.776263578034e-05
9.744804073154e-03,0.000000000000e+00,9.237946122105e+07,0.000000000000e+00,1.406805941887e+01,3.231174267785e-04
5.432651574878e-02,0.000000000000e+00,9.237948697547e+07,0.000000000000e+00,8.017171225992e+01,1.925929944387e-03
3.864861517369e-01,0.000000000000e+00,9.237975275944e+07,0.000000000000e+00,5.234273271647e+02,1.434929627469e-02
3.479963825455e+00,0.000000000000e+00,9.238415371854e+07,0.000000000000e+00,2.949143847680e+03,1.336382355046e-01
1.121365800975e+01,0.000000000000e+00,9.239777158738e+07,0.000000000000e+00,4.757384480113e+03,3.340955887615e-01
1.894735219404e+01,0.000000000000e+00,9.241218779373e+07,0.000000000000e+00,3.959045917594e+03,3.340955887615e-01
2.668104637834e+01,5.154615096773e+00,9.242692278768e+07,0.000000000000e+00,3.635110039387e+03,3.340955887615e-01
3.054789347049e+01,1.136503266133e+04,9.242298551996e+07,0.000000000000e+00,1.765015208058e+03,1.670477943808e-01
