# Observation File: observation_flux.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water flux [mol]
# Region: observation region
# Reduction: extensive integral
# Variable: water_flux
# Number of Vectors: 1
# =============================================================================
"time [d]","water flux [mol]"
0.000000000000e+00,1.618265183781e-05
1.157407407407e-05,1.475712403867e-15
2.314814814815e-05,1.475712404035e-15
3.472222222222e-05,1.475712403867e-15
4.918981481481e-05,1.475712403867e-15
6.727430555556e-05,1.475712403868e-15
9.553132233796e-05,1.475712403868e-15
1.507208082411e-04,1.475712404037e-15
2.854607640593e-04,1.475712404365e-15
6.966544768834e-04,1.475712405693e-15
1.107848189708e-03,1.475712406853e-15
1.621840330738e-03,1.475712408348e-15
2.264330507025e-03,1.475712410171e-15
3.268221407475e-03,1.475712413156e-15
5.228945822415e-03,1.475712418964e-15
8.819139453288e-03,1.475712429746e-15
1.240933308416e-02,1.475712440530e-15
1.599952671503e-02,1.475712451143e-15
1.958972034591e-02,1.475712461759e-15
2.407746238450e-02,1.475712475030e-15
2.968713993273e-02,1.475712491785e-15
3.845226110186e-02,1.475712518002e-15
4.808191082379e-02,1.475712546699e-15
5.771156054573e-02,1.475712575395e-15
6.734121026767e-02,1.475712604101e-15
7.697085998960e-02,1.475712632798e-15
8.660050971154e-02,1.475712661494e-15
9.623015943347e-02,1.475712690200e-15
1.082672215859e-01,1.475712726030e-15
1.203042837383e-01,1.475712761870e-15
1.323413458907e-01,1.475712797700e-15
1.443784080432e-01,1.475712833528e-15
1.564154701956e-01,1.475712869358e-15
1.684525323480e-01,1.475712905194e-15
1.804895945004e-01,1.475712941025e-15
1.925266566528e-01,1.475712976861e-15
2.045637188053e-01,1.475713012691e-15
2.166007809577e-01,1.475713048530e-15
2.286378431101e-01,1.475713084361e-15
2.406749052625e-01,1.475713120200e-15
2.527119674149e-01,1.475713155863e-15
2.647490295674e-01,1.475713191858e-15
2.767860917198e-01,1.475713227854e-15
2.888231538722e-01,1.475713263520e-15
3.008602160246e-01,1.475713299191e-15
3.128972781770e-01,1.475713335021e-15
3.249343403295e-01,1.475713370857e-15
3.369714024819e-01,1.475713406688e-15
3.490084646343e-01,1.475713442527e-15
3.610455267867e-01,1.475713478354e-15
3.730825889391e-01,1.475713514358e-15
3.851196510916e-01,1.475713550189e-15
3.971567132440e-01,1.475713586020e-15
4.091937753964e-01,1.475713622015e-15
4.212308375488e-01,1.475713657854e-15
4.332678997012e-01,1.475713693682e-15
4.453049618537e-01,1.475713729521e-15
4.573420240061e-01,1.475713765352e-15
4.693790861585e-01,1.475713801188e-15
4.814161483109e-01,1.475713837183e-15
4.934532104633e-01,1.475713873022e-15
5.054902726158e-01,1.475713909018e-15
5.175273347682e-01,1.475713944848e-15
5.295643969206e-01,1.475713980679e-15
5.416014590730e-01,1.475714016671e-15
5.536385212254e-01,1.475714052346e-15
5.656755833779e-01,1.475714088173e-15
5.777126455303e-01,1.475714123847e-15
5.897497076827e-01,1.475714159513e-15
6.017867698351e-01,1.475714195514e-15
6.138238319875e-01,1.475714231345e-15
6.258608941400e-01,1.475714267181e-15
6.378979562924e-01,1.475714303179e-15
6.499350184448e-01,1.475714338842e-15
6.619720805972e-01,1.475714374673e-15
6.740091427496e-01,1.475714410344e-15
6.860462049021e-01,1.475714446006e-15
6.980832670545e-01,1.475714481845e-15
7.101203292069e-01,1.475714517508e-15
7.221573913593e-01,1.475714553347e-15
7.341944535117e-01,1.475714589178e-15
7.462315156642e-01,1.475714625008e-15
7.582685778166e-01,1.475714660844e-15
7.703056399690e-01,1.475714696675e-15
7.823427021214e-01,1.475714732506e-15
7.943797642738e-01,1.475714768336e-15
8.064168264263e-01,1.475714804172e-15
8.184538885787e-01,1.475714840003e-15
8.304909507311e-01,1.475714875842e-15
8.425280128835e-01,1.475714911673e-15
8.545650750360e-01,1.475714947509e-15
8.666021371884e-01,1.475714983339e-15
8.786391993408e-01,1.475715019175e-15
8.906762614932e-01,1.475715055006e-15
9.027133236456e-01,1.475715090836e-15
9.147503857981e-01,1.475715126499e-15
9.267874479505e-01,1.475715162338e-15
9.388245101029e-01,1.475715198165e-15
9.508615722553e-01,1.475715234173e-15
9.628986344077e-01,1.475715270003e-15
9.749356965602e-01,1.475715305839e-15
9.869727587126e-01,1.475715341670e-15
9.934863793563e-01,1.475715361079e-15
1.000000000000e+00,1.475715380650e-15
1.012037062152e+00,1.475715416490e-15
1.024074124305e+00,1.475715452485e-15
1.036111186457e+00,1.475715488316e-15
1.048148248610e+00,1.475715524146e-15
1.060185310762e+00,1.475715559982e-15
1.072222372915e+00,1.475715595813e-15
1.084259435067e+00,1.475715631817e-15
1.096296497219e+00,1.475715667645e-15
1.108333559372e+00,1.475715703484e-15
1.120370621524e+00,1.475715739479e-15
1.132407683677e+00,1.475715775318e-15
1.144444745829e+00,1.475715811314e-15
1.156481807981e+00,1.475715846977e-15
1.168518870134e+00,1.475715882807e-15
1.180555932286e+00,1.475715918643e-15
1.192592994439e+00,1.475715954474e-15
1.204630056591e+00,1.475715990313e-15
1.216667118744e+00,1.475716025975e-15
1.228704180896e+00,1.475716061815e-15
1.240741243048e+00,1.475716097645e-15
1.252778305201e+00,1.475716133641e-15
1.264815367353e+00,1.475716169480e-15
1.276852429506e+00,1.475716205311e-15
1.288889491658e+00,1.475716241303e-15
1.300926553811e+00,1.475716277133e-15
1.312963615963e+00,1.475716312805e-15
1.325000678115e+00,1.475716348635e-15
1.337037740268e+00,1.475716384471e-15
1.349074802420e+00,1.475716420470e-15
1.361111864573e+00,1.475716456306e-15
1.373148926725e+00,1.475716492137e-15
1.385185988877e+00,1.475716527976e-15
1.397223051030e+00,1.475716563806e-15
1.409260113182e+00,1.475716599637e-15
1.421297175335e+00,1.475716635464e-15
1.433334237487e+00,1.475716671303e-15
1.445371299640e+00,1.475716706966e-15
1.457408361792e+00,1.475716742805e-15
1.469445423944e+00,1.475716778636e-15
1.481482486097e+00,1.475716814463e-15
1.493519548249e+00,1.475716850303e-15
1.505556610402e+00,1.475716886130e-15
1.517593672554e+00,1.475716921969e-15
1.529630734706e+00,1.475716957632e-15
1.541667796859e+00,1.475716993462e-15
1.553704859011e+00,1.475717029293e-15
1.565741921164e+00,1.475717065132e-15
1.577778983316e+00,1.475717100960e-15
1.589816045469e+00,1.475717136799e-15
1.601853107621e+00,1.475717172461e-15
1.613890169773e+00,1.475717208300e-15
1.625927231926e+00,1.475717244131e-15
1.637964294078e+00,1.475717279970e-15
