# Observation File: water_balance.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evapotranspiration [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface-evaporation
# Number of Vectors: 1
# =============================================================================
"time [d]","surface water content [mol]","subsurface water content [mol]","evapotranspiration [m d^-1]"
0.000000000000e+00,0.000000000000e+00,1.372036110213e+05,0.000000000000e+00
1.000000000000e+00,0.000000000000e+00,1.369798473567e+05,4.068430272295e-03
2.000000000000e+00,0.000000000000e+00,1.368051601541e+05,3.176130960114e-03
3.000000000000e+00,0.000000000000e+00,1.366656923984e+05,2.535777375037e-03
4.000000000000e+00,0.000000000000e+00,1.365498200047e+05,2.106770797211e-03
5.000000000000e+00,0.000000000000e+00,1.364503335689e+05,1.808844282387e-03
6.000000000000e+00,0.000000000000e+00,1.363627862270e+05,1.591769852992e-03
7.000000000000e+00,0.000000000000e+00,1.362843150393e+05,1.426748867087e-03
8.000000000000e+00,0.000000000000e+00,1.362129866709e+05,1.296879427904e-03
9.000000000000e+00,0.000000000000e+00,1.361474206336e+05,1.192109770075e-03
1.000000000000e+01,0.000000000000e+00,1.360865706140e+05,1.106363994837e-03
1.100000000000e+01,0.000000000000e+00,1.360296432196e+05,1.035043535355e-03
1.200000000000e+01,0.000000000000e+00,1.359760297947e+05,9.747895466668e-04
1.300000000000e+01,0.000000000000e+00,1.359252555127e+05,9.231687657253e-04
1.400000000000e+01,0.000000000000e+00,1.358769436907e+05,8.783967665711e-04
1.500000000000e+01,0.000000000000e+00,1.358307908331e+05,8.391428664046e-04
1.600000000000e+01,0.000000000000e+00,1.357865489506e+05,8.043978665875e-04
1.700000000000e+01,0.000000000000e+00,1.357440128131e+05,7.733843184806e-04
1.800000000000e+01,0.000000000000e+00,1.357030106435e+05,7.454939965268e-04
1.900000000000e+01,0.000000000000e+00,1.356633971878e+05,7.202446510116e-04
2.000000000000e+01,0.000000000000e+00,1.356250484837e+05,6.972491680027e-04
2.100000000000e+01,0.000000000000e+00,1.355878578531e+05,6.761932839227e-04
2.200000000000e+01,0.000000000000e+00,1.355517327949e+05,6.568192440676e-04
2.300000000000e+01,0.000000000000e+00,1.355165925442e+05,6.389136518906e-04
2.400000000000e+01,0.000000000000e+00,1.354823661367e+05,6.222983184588e-04
2.500000000000e+01,0.000000000000e+00,1.354489908558e+05,6.068232923055e-04
2.600000000000e+01,0.000000000000e+00,1.354164109736e+05,5.923614969754e-04
2.700000000000e+01,0.000000000000e+00,1.353845767223e+05,5.788045702316e-04
2.800000000000e+01,0.000000000000e+00,1.353534434442e+05,5.660596046227e-04
2.900000000000e+01,0.000000000000e+00,1.353229708663e+05,5.540468726238e-04
3.000000000000e+01,0.000000000000e+00,1.352931217379e+05,5.427114286967e-04
