# Observation File: water_balance.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: canopy water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: canopy-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evapotranspiration [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface-total_evapotranspiration
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow precipitation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain precipitation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: canopy evaporation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: canopy-evaporation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: canopy drainage [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: canopy-drainage
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: canopy interception [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: canopy-interception
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow evaporation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: snow-evaporation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snowmelt [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow throughfall + canopy drainage [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: canopy-throughfall_drainage_snow
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface evaporation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface-evaporation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: water throughfall + canopy drainage [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: canopy-throughfall_drainage_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: transpiration [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface-transpiration
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: exfiltration [mol d^-1]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# =============================================================================
"time [d]","surface water content [mol]","subsurface water content [mol]","snow water content [mol]","canopy water content [mol]","evapotranspiration [m d^-1]","snow precipitation [m d^-1]","rain precipitation [m d^-1]","canopy evaporation [m d^-1]","canopy drainage [m d^-1]","canopy interception [m d^-1]","snow evaporation [m d^-1]","snowmelt [m d^-1]","snow throughfall + canopy drainage [m d^-1]","surface evaporation [m d^-1]","water throughfall + canopy drainage [m d^-1]","transpiration [m d^-1]","exfiltration [mol d^-1]"
2.740000000000e+02,0.000000000000e+00,2.159857983616e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2.750000000000e+02,0.000000000000e+00,2.159715530385e+05,0.000000000000e+00,1.198095761409e+01,3.055124225649e-03,0.000000000000e+00,3.013953488372e-03,5.341680066549e-04,0.000000000000e+00,7.520035996384e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.261949888734e-03,2.520956218994e-03,-1.244072438804e+02
2.760000000000e+02,0.000000000000e+00,2.157506856922e+05,0.000000000000e+00,2.923759821357e+00,4.180446324563e-03,0.000000000000e+00,0.000000000000e+00,1.646763235042e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.311223447753e-04,0.000000000000e+00,3.684647656284e-03,1.821172896264e+01
2.770000000000e+02,0.000000000000e+00,2.155538622994e+05,0.000000000000e+00,8.124455076858e-01,3.616994102886e-03,0.000000000000e+00,0.000000000000e+00,3.838753297584e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.963674657700e-04,0.000000000000e+00,3.182239104140e-03,2.180021061735e+01
2.780000000000e+02,0.000000000000e+00,2.154506262464e+05,0.000000000000e+00,3.216574496298e-01,1.885942597330e-03,0.000000000000e+00,0.000000000000e+00,8.923419237382e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.877019178093e-03,0.000000000000e+00
2.790000000000e+02,0.000000000000e+00,2.153793244168e+05,0.000000000000e+00,7.899841657697e+00,3.167913963960e-03,0.000000000000e+00,2.009302325581e-03,3.634832922650e-04,0.000000000000e+00,5.012684596844e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.830508512741e-05,1.508033865897e-03,2.756125586568e-03,-8.028508294233e+01
2.800000000000e+02,0.000000000000e+00,2.151983865961e+05,0.000000000000e+00,2.100140343812e+00,3.395227713500e-03,0.000000000000e+00,0.000000000000e+00,1.054491147979e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.289778598702e-03,0.000000000000e+00
2.810000000000e+02,0.000000000000e+00,2.149976705849e+05,0.000000000000e+00,5.250858070951e-01,3.678019380820e-03,0.000000000000e+00,0.000000000000e+00,2.863735521303e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.649382025607e-03,0.000000000000e+00
2.820000000000e+02,0.000000000000e+00,2.147847973900e+05,0.000000000000e+00,1.258912047445e-01,3.877679810059e-03,0.000000000000e+00,0.000000000000e+00,7.258083679101e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.870421726380e-03,0.000000000000e+00
2.830000000000e+02,0.000000000000e+00,2.145641628000e+05,0.000000000000e+00,2.934052759753e-02,4.013293468136e-03,0.000000000000e+00,0.000000000000e+00,1.755466857218e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.011538001279e-03,0.000000000000e+00
2.840000000000e+02,0.000000000000e+00,2.143528474666e+05,0.000000000000e+00,7.093840396968e-03,3.842501399926e-03,0.000000000000e+00,0.000000000000e+00,4.044852218285e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.811108342976e-05,0.000000000000e+00,3.813985831274e-03,1.546109588637e+00
