,saversion,saverest,areasymbol,areaname,lkey,musym,muname,museq,mukey,comppct_r,compname,localphase,slope_r,cokey,hzdept_r,hzdepb_r,ksat_r,sandtotal_r,claytotal_r,silttotal_r,dbthirdbar_r,partdensity,wsatiated_r,chkey
0,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,BuD,"Burton-Craggey-Rock outcrop complex, windswept, 15 to 30 percent slopes, stony",11,545800,15,Rock outcrop,,,20066630,0.0,203.0,0.035,,,,,,,58863445
1,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,BuD,"Burton-Craggey-Rock outcrop complex, windswept, 15 to 30 percent slopes, stony",11,545800,35,Craggey,windswept,23.0,20066631,43.0,203.0,0.0,,,,,,,58863446
2,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,BuD,"Burton-Craggey-Rock outcrop complex, windswept, 15 to 30 percent slopes, stony",11,545800,35,Craggey,windswept,23.0,20066631,0.0,43.0,28.0,67.2,17.5,15.3,1.2,,29.0,58863447
3,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,BuD,"Burton-Craggey-Rock outcrop complex, windswept, 15 to 30 percent slopes, stony",11,545800,45,Burton,windswept,23.0,20066632,91.0,203.0,0.0,,,,,,,58863448
4,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,BuD,"Burton-Craggey-Rock outcrop complex, windswept, 15 to 30 percent slopes, stony",11,545800,45,Burton,windswept,23.0,20066632,0.0,46.0,28.0,65.7,11.5,22.8,1.2,,38.0,58863449
5,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,BuD,"Burton-Craggey-Rock outcrop complex, windswept, 15 to 30 percent slopes, stony",11,545800,45,Burton,windswept,23.0,20066632,46.0,91.0,28.0,65.7,11.5,22.8,1.55,,26.0,58863450
6,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,BuF,"Burton-Craggey-Rock outcrop complex, windswept, 30 to 95 percent slopes, stony",12,545801,35,Craggey,windswept,63.0,20066633,0.0,43.0,28.0,67.2,17.5,15.3,1.2,,29.0,58863451
7,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,BuF,"Burton-Craggey-Rock outcrop complex, windswept, 30 to 95 percent slopes, stony",12,545801,35,Craggey,windswept,63.0,20066633,43.0,203.0,0.0,,,,,,,58863452
8,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,BuF,"Burton-Craggey-Rock outcrop complex, windswept, 30 to 95 percent slopes, stony",12,545801,40,Burton,windswept,63.0,20066634,0.0,46.0,28.0,65.7,11.5,22.8,1.2,,38.0,58863453
9,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,BuF,"Burton-Craggey-Rock outcrop complex, windswept, 30 to 95 percent slopes, stony",12,545801,40,Burton,windswept,63.0,20066634,46.0,91.0,28.0,65.7,11.5,22.8,1.55,,25.0,58863454
10,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,BuF,"Burton-Craggey-Rock outcrop complex, windswept, 30 to 95 percent slopes, stony",12,545801,40,Burton,windswept,63.0,20066634,91.0,203.0,0.0,,,,,,,58863455
11,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,BuF,"Burton-Craggey-Rock outcrop complex, windswept, 30 to 95 percent slopes, stony",12,545801,20,Rock outcrop,,,20066635,0.0,203.0,0.035,,,,,,,58863456
12,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CaF,"Cashiers gravelly fine sandy loam, 50 to 95 percent slopes",14,545803,80,Cashiers,,63.0,20066637,0.0,20.0,28.0,67.5,11.5,21.0,1.4,,28.0,58863460
13,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CaF,"Cashiers gravelly fine sandy loam, 50 to 95 percent slopes",14,545803,80,Cashiers,,63.0,20066637,20.0,124.0,28.0,67.5,11.5,21.0,1.4,,39.0,58863461
14,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CaF,"Cashiers gravelly fine sandy loam, 50 to 95 percent slopes",14,545803,80,Cashiers,,63.0,20066637,124.0,203.0,28.0,65.7,11.5,22.8,1.4,,39.0,58863462
15,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CdD,"Chandler gravelly fine sandy loam, 15 to 30 percent slopes",16,545805,80,Chandler,,23.0,20066640,0.0,13.0,28.0,67.5,11.5,21.0,1.4,,31.0,58863471
16,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CdD,"Chandler gravelly fine sandy loam, 15 to 30 percent slopes",16,545805,80,Chandler,,23.0,20066640,13.0,203.0,28.0,45.3,11.5,43.2,1.4,,39.0,58863472
17,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CdE,"Chandler gravelly fine sandy loam, 30 to 50 percent slopes",17,545806,80,Chandler,,40.0,20066641,0.0,13.0,28.0,67.5,11.5,21.0,1.4,,31.0,58863473
18,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CdE,"Chandler gravelly fine sandy loam, 30 to 50 percent slopes",17,545806,80,Chandler,,40.0,20066641,13.0,203.0,28.0,45.3,11.5,43.2,1.4,,39.0,58863474
19,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CdF,"Chandler gravelly fine sandy loam, 50 to 95 percent slopes",18,545807,80,Chandler,,63.0,20066642,0.0,13.0,28.0,67.5,11.5,21.0,1.4,,31.0,58863475
20,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CdF,"Chandler gravelly fine sandy loam, 50 to 95 percent slopes",18,545807,80,Chandler,,63.0,20066642,13.0,203.0,28.0,45.3,11.5,43.2,1.4,,39.0,58863476
21,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnD,"Chestnut-Edneyville complex, windswept, 15 to 30 percent slopes, stony",22,545811,5,Cleveland,windswept,23.0,20066658,0.0,13.0,28.0,67.4,13.0,19.6,1.35,,37.0,58863527
22,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnD,"Chestnut-Edneyville complex, windswept, 15 to 30 percent slopes, stony",22,545811,5,Cleveland,windswept,23.0,20066658,13.0,43.0,28.0,45.4,13.0,41.6,1.35,,38.0,58863528
23,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnD,"Chestnut-Edneyville complex, windswept, 15 to 30 percent slopes, stony",22,545811,5,Cleveland,windswept,23.0,20066658,43.0,203.0,0.035,,,,,,,58863529
24,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnD,"Chestnut-Edneyville complex, windswept, 15 to 30 percent slopes, stony",22,545811,0,Rock outcrop,,,20066659,0.0,203.0,0.035,,,,,,,58863530
25,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnD,"Chestnut-Edneyville complex, windswept, 15 to 30 percent slopes, stony",22,545811,50,Chestnut,windswept,23.0,20066660,91.0,203.0,7.0,,,,,,,58863531
26,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnD,"Chestnut-Edneyville complex, windswept, 15 to 30 percent slopes, stony",22,545811,50,Chestnut,windswept,23.0,20066660,0.0,15.0,28.0,70.9,12.5,16.6,1.48,,29.0,58863532
27,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnD,"Chestnut-Edneyville complex, windswept, 15 to 30 percent slopes, stony",22,545811,50,Chestnut,windswept,23.0,20066660,15.0,91.0,28.0,68.8,15.0,16.2,1.48,,31.0,58863533
28,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnD,"Chestnut-Edneyville complex, windswept, 15 to 30 percent slopes, stony",22,545811,40,Edneyville,windswept,23.0,20066661,0.0,13.0,28.0,67.5,11.5,21.0,1.5,,34.0,58863534
