# Observation File: surface_outlet_flux_crunch.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface outlet flux
# Region: surface boundary
# Functional: extensive integral
# Variable: surface-mass_flux
# Number of Vectors: 1
# =============================================================================
"time [s]" "surface outlet flux"
0.000000000000e+00 0.000000000000e+00
8.640000000000e+04 0.000000000000e+00
1.728000000000e+05 2.964657644739e+01
2.592000000000e+05 6.866587379256e+01
3.456000000000e+05 7.280803923456e+01
4.320000000000e+05 7.446375014681e+01
5.184000000000e+05 7.421207827838e+01
6.048000000000e+05 7.285030115922e+01
6.912000000000e+05 7.091174850924e+01
7.776000000000e+05 6.859001865673e+01
8.640000000000e+05 6.555981380397e+01
9.504000000000e+05 6.276188242937e+01
1.036800000000e+06 6.057025859854e+01
1.123200000000e+06 5.872026274534e+01
1.209600000000e+06 5.698455245296e+01
1.296000000000e+06 5.517935231784e+01
1.382400000000e+06 5.291339663607e+01
1.468800000000e+06 5.049136650681e+01
1.555200000000e+06 4.827528653236e+01
1.641600000000e+06 4.638334273225e+01
1.728000000000e+06 4.466859344442e+01
1.814400000000e+06 4.310737993668e+01
1.900800000000e+06 4.165201913922e+01
1.987200000000e+06 4.024354668363e+01
2.073600000000e+06 3.882815744919e+01
2.160000000000e+06 3.735906656817e+01
2.246400000000e+06 3.580602608474e+01
2.332800000000e+06 3.413727195659e+01
2.419200000000e+06 3.229591725352e+01
2.505600000000e+06 3.019634503361e+01
2.592000000000e+06 2.835615201040e+01
2.678400000000e+06 2.681667272335e+01
2.764800000000e+06 2.547718162735e+01
2.851200000000e+06 2.429473698524e+01
2.937600000000e+06 2.324978843434e+01
3.024000000000e+06 2.231345520187e+01
3.110400000000e+06 2.145169247970e+01
3.196800000000e+06 2.062570517009e+01
3.283200000000e+06 1.979471844271e+01
3.369600000000e+06 1.891514318970e+01
3.456000000000e+06 1.813581813796e+01
3.542400000000e+06 1.744511800003e+01
3.628800000000e+06 1.677501777407e+01
3.715200000000e+06 1.613048216699e+01
3.801600000000e+06 1.553940941180e+01
3.888000000000e+06 1.499041726686e+01
3.974400000000e+06 1.447665523232e+01
4.060800000000e+06 1.398969729002e+01
4.147200000000e+06 1.352334292060e+01
4.233600000000e+06 1.307260581396e+01
4.320000000000e+06 1.263336659023e+01
4.406400000000e+06 1.777718488008e+01
4.492800000000e+06 1.817855477937e+01
4.579200000000e+06 1.935646922487e+01
4.665600000000e+06 1.995212523795e+01
4.752000000000e+06 2.028044661611e+01
4.838400000000e+06 2.056102552781e+01
4.924800000000e+06 2.088371008836e+01
5.011200000000e+06 2.126630133499e+01
5.097600000000e+06 2.170505741414e+01
5.184000000000e+06 2.219794534581e+01
5.270400000000e+06 2.275341673291e+01
5.356800000000e+06 2.339191356271e+01
5.443200000000e+06 2.415890256466e+01
5.529600000000e+06 2.516142519659e+01
5.616000000000e+06 2.680533047541e+01
5.702400000000e+06 2.914361178621e+01
5.788800000000e+06 3.033182931550e+01
5.875200000000e+06 3.195057860974e+01
5.961600000000e+06 3.291323158001e+01
6.048000000000e+06 3.368522936283e+01
6.134400000000e+06 3.435264463731e+01
6.220800000000e+06 3.488475710238e+01
6.307200000000e+06 3.531372493431e+01
6.393600000000e+06 3.574704629445e+01
6.480000000000e+06 3.623727347079e+01
6.566400000000e+06 2.942634066452e+01
6.652800000000e+06 2.810226885932e+01
6.739200000000e+06 2.717133393271e+01
6.825600000000e+06 2.656028352591e+01
6.912000000000e+06 2.611531832833e+01
6.998400000000e+06 2.571322946064e+01
7.084800000000e+06 2.528668703939e+01
7.171200000000e+06 2.481537625856e+01
7.257600000000e+06 2.430268670181e+01
7.344000000000e+06 2.375909157915e+01
7.430400000000e+06 2.320338860069e+01
7.516800000000e+06 2.265322070938e+01
7.603200000000e+06 2.211356240271e+01
7.689600000000e+06 2.158433010851e+01
7.776000000000e+06 2.106107420296e+01
7.862400000000e+06 2.053561979381e+01
7.948800000000e+06 1.999695070454e+01
8.035200000000e+06 1.943266020016e+01
8.121600000000e+06 1.882257645694e+01
8.208000000000e+06 1.825687664958e+01
8.294400000000e+06 1.772975441830e+01
8.380800000000e+06 1.720630762017e+01
8.467200000000e+06 1.668988780779e+01
8.553600000000e+06 1.618486770414e+01
8.640000000000e+06 1.569488347584e+01
8.726400000000e+06 2.674747320051e+01
8.812800000000e+06 3.031096585280e+01
8.899200000000e+06 3.279071448430e+01
8.985600000000e+06 3.696573494276e+01
9.072000000000e+06 4.194057956140e+01
9.158400000000e+06 4.503071231324e+01
9.244800000000e+06 4.736908233669e+01
9.331200000000e+06 4.905897036955e+01
9.417600000000e+06 5.037105470043e+01
9.504000000000e+06 5.153692901916e+01
9.590400000000e+06 5.286134429051e+01
9.676800000000e+06 5.573637636835e+01
9.763200000000e+06 5.892559319652e+01
9.849600000000e+06 6.127181651820e+01
9.936000000000e+06 6.314314517967e+01
1.002240000000e+07 6.499636206866e+01
1.010880000000e+07 6.760048924349e+01
1.019520000000e+07 7.173644326541e+01
1.028160000000e+07 7.453231068858e+01
1.036800000000e+07 7.768065499049e+01
1.045440000000e+07 8.144011950635e+01
1.054080000000e+07 8.399042834916e+01
1.062720000000e+07 8.584049634536e+01
1.071360000000e+07 8.743983519195e+01
1.080000000000e+07 8.916871411874e+01
1.088640000000e+07 7.144639384082e+01
1.097280000000e+07 6.704928892127e+01
1.105920000000e+07 6.338887709922e+01
1.114560000000e+07 6.075890578755e+01
1.123200000000e+07 5.862330234675e+01
1.131840000000e+07 5.670166586877e+01
1.140480000000e+07 5.472875610281e+01
1.149120000000e+07 5.231187739244e+01
1.157760000000e+07 4.991845841438e+01
1.166400000000e+07 4.788494814569e+01
1.175040000000e+07 4.608243784207e+01
1.183680000000e+07 4.445730384546e+01
1.192320000000e+07 4.297041080068e+01
1.200960000000e+07 4.158082672478e+01
1.209600000000e+07 4.023562268311e+01
1.218240000000e+07 3.888628841313e+01
1.226880000000e+07 3.749241478008e+01
1.235520000000e+07 3.602992288526e+01
1.244160000000e+07 3.447841676169e+01
1.252800000000e+07 3.279775764775e+01
1.261440000000e+07 3.093172112442e+01
1.270080000000e+07 2.897510160303e+01
1.278720000000e+07 2.742202568923e+01
1.287360000000e+07 2.606605930409e+01
1.296000000000e+07 2.487022676530e+01
1.304640000000e+07 2.955323555866e+01
1.313280000000e+07 3.026070548180e+01
1.321920000000e+07 3.118661897835e+01
1.330560000000e+07 3.195623348901e+01
1.339200000000e+07 3.265511428648e+01
1.347840000000e+07 3.325352146234e+01
1.356480000000e+07 3.373926739240e+01
1.365120000000e+07 3.413997354568e+01
1.373760000000e+07 3.448812181212e+01
1.382400000000e+07 3.480650584963e+01
1.391040000000e+07 3.510868332132e+01
1.399680000000e+07 3.540269612071e+01
1.408320000000e+07 3.569423160633e+01
1.416960000000e+07 3.598885258252e+01
1.425600000000e+07 3.629376118101e+01
1.434240000000e+07 3.660484775365e+01
1.442880000000e+07 3.695009348906e+01
1.451520000000e+07 3.737454829809e+01
1.460160000000e+07 3.793614129408e+01
1.468800000000e+07 3.865999531364e+01
1.477440000000e+07 3.961643728486e+01
1.486080000000e+07 4.122611172290e+01
1.494720000000e+07 4.282176410852e+01
1.503360000000e+07 4.379575858917e+01
1.512000000000e+07 4.457407085461e+01
1.520640000000e+07 4.522479592850e+01
1.529280000000e+07 4.578455684455e+01
1.537920000000e+07 4.627541116745e+01
1.546560000000e+07 4.671220424115e+01
1.555200000000e+07 4.709381459141e+01
1.563840000000e+07 4.743298833295e+01
1.572480000000e+07 4.774079118217e+01
1.581120000000e+07 4.802470221672e+01
1.589760000000e+07 4.829048827648e+01
1.598400000000e+07 4.854272139438e+01
1.607040000000e+07 4.878506831655e+01
1.615680000000e+07 4.901994609815e+01
1.624320000000e+07 4.924956536777e+01
1.632960000000e+07 4.947635195250e+01
1.641600000000e+07 4.970188651247e+01
1.650240000000e+07 4.992724035121e+01
1.658880000000e+07 5.015310461264e+01
1.667520000000e+07 5.037989158246e+01
1.676160000000e+07 5.060781355792e+01
1.684800000000e+07 5.083693784377e+01
1.693440000000e+07 5.106721578840e+01
1.702080000000e+07 5.129848722689e+01
1.710720000000e+07 5.153046526118e+01
1.719360000000e+07 5.176271036082e+01
1.728000000000e+07 5.199460377166e+01
