# Observation File: surface_free_ion_species_crunch.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface free concentration
# Region: east conc
# Functional: average
# Variable: surface-free_ion_species
# Number of Vectors: 4
# =============================================================================
"time [s]" "surface free concentration"
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
8.640000000000e+04 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.728000000000e+05 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
2.592000000000e+05 2.129328133724e-08 1.952778764952e-03 9.736588088584e-04 9.970751375504e-04
3.456000000000e+05 2.129327518697e-08 1.952778785490e-03 9.736588206602e-04 9.970751258535e-04
4.320000000000e+05 2.129327479381e-08 1.952778778413e-03 9.736588172622e-04 9.970751208080e-04
5.184000000000e+05 2.129327476766e-08 1.952778772011e-03 9.736588141004e-04 9.970751174337e-04
6.048000000000e+05 2.129327476249e-08 1.952778768051e-03 9.736588121419e-04 9.970751153864e-04
6.912000000000e+05 2.129327475998e-08 1.952778765876e-03 9.736588110659e-04 9.970751142630e-04
7.776000000000e+05 2.129327475726e-08 1.952778763946e-03 9.736588101113e-04 9.970751132645e-04
8.640000000000e+05 2.129327475260e-08 1.952778760187e-03 9.736588082524e-04 9.970751113221e-04
9.504000000000e+05 2.129327475166e-08 1.952778759995e-03 9.736588081576e-04 9.970751112204e-04
1.036800000000e+06 2.129327475695e-08 1.952778762695e-03 9.736588094925e-04 9.970751126227e-04
1.123200000000e+06 2.129327475708e-08 1.952778763643e-03 9.736588099615e-04 9.970751131086e-04
1.209600000000e+06 2.129327475722e-08 1.952778763761e-03 9.736588100202e-04 9.970751131699e-04
1.296000000000e+06 2.129327475710e-08 1.952778762999e-03 9.736588096432e-04 9.970751127792e-04
1.382400000000e+06 2.129327475210e-08 1.952778759524e-03 9.736588079243e-04 9.970751109806e-04
1.468800000000e+06 2.129327474960e-08 1.952778757492e-03 9.736588069195e-04 9.970751099309e-04
1.555200000000e+06 2.129327475180e-08 1.952778758085e-03 9.736588072124e-04 9.970751102426e-04
1.641600000000e+06 2.129327475262e-08 1.952778759185e-03 9.736588077566e-04 9.970751108091e-04
1.728000000000e+06 2.129327475116e-08 1.952778759307e-03 9.736588078174e-04 9.970751108662e-04
1.814400000000e+06 2.129327475437e-08 1.952778760145e-03 9.736588082311e-04 9.970751113070e-04
1.900800000000e+06 2.129327475404e-08 1.952778760517e-03 9.736588084154e-04 9.970751114964e-04
1.987200000000e+06 2.129327475128e-08 1.952778759566e-03 9.736588079456e-04 9.970751109994e-04
2.073600000000e+06 2.129327475251e-08 1.952778759338e-03 9.736588078323e-04 9.970751108870e-04
2.160000000000e+06 2.129327475153e-08 1.952778757746e-03 9.736588070444e-04 9.970751100677e-04
2.246400000000e+06 2.129327474648e-08 1.952778755492e-03 9.736588059304e-04 9.970751088950e-04
2.332800000000e+06 2.129327474488e-08 1.952778752803e-03 9.736588045995e-04 9.970751075113e-04
2.419200000000e+06 2.129327473842e-08 1.952778748762e-03 9.736588026017e-04 9.970751054183e-04
2.505600000000e+06 2.129327473278e-08 1.952778742441e-03 9.736587994746e-04 9.970751021597e-04
2.592000000000e+06 2.129327473345e-08 1.952778743341e-03 9.736587999195e-04 9.970751026228e-04
2.678400000000e+06 2.129327473278e-08 1.952778745056e-03 9.736588007689e-04 9.970751034994e-04
2.764800000000e+06 2.129327474316e-08 1.952778747579e-03 9.736588020149e-04 9.970751048294e-04
2.851200000000e+06 2.129327474289e-08 1.952778748506e-03 9.736588024734e-04 9.970751053030e-04
2.937600000000e+06 2.129327474622e-08 1.952778750014e-03 9.736588032191e-04 9.970751060878e-04
3.024000000000e+06 2.129327474172e-08 1.952778750460e-03 9.736588034409e-04 9.970751062998e-04
3.110400000000e+06 2.129327475080e-08 1.952778751556e-03 9.736588039809e-04 9.970751068941e-04
3.196800000000e+06 2.129327475355e-08 1.952778751617e-03 9.736588040106e-04 9.970751069355e-04
3.283200000000e+06 2.129327475618e-08 1.952778750510e-03 9.736588034621e-04 9.970751063780e-04
3.369600000000e+06 2.129327474254e-08 1.952778746120e-03 9.736588012926e-04 9.970751040795e-04
3.456000000000e+06 2.129327474502e-08 1.952778747576e-03 9.736588020127e-04 9.970751048344e-04
3.542400000000e+06 2.129327474645e-08 1.952778748638e-03 9.736588025379e-04 9.970751053836e-04
3.628800000000e+06 2.129327474216e-08 1.952778747372e-03 9.736588019127e-04 9.970751047198e-04
3.715200000000e+06 2.129327474325e-08 1.952778747210e-03 9.736588018322e-04 9.970751046408e-04
3.801600000000e+06 2.129327474922e-08 1.952778748505e-03 9.736588024713e-04 9.970751053255e-04
3.888000000000e+06 2.129327476050e-08 1.952778749526e-03 9.736588029735e-04 9.970751058891e-04
3.974400000000e+06 2.129327475052e-08 1.952778749472e-03 9.736588029494e-04 9.970751058253e-04
4.060800000000e+06 2.129327475903e-08 1.952778749269e-03 9.736588028469e-04 9.970751057523e-04
4.147200000000e+06 2.129327476319e-08 1.952778749665e-03 9.736588030419e-04 9.970751059704e-04
4.233600000000e+06 2.129327474491e-08 1.952778747486e-03 9.736588019681e-04 9.970751047879e-04
4.320000000000e+06 2.129327475740e-08 1.952778748074e-03 9.736588022557e-04 9.970751051341e-04
4.406400000000e+06 2.176408024372e-08 1.349302469422e-03 6.742683710068e-04 6.857157633291e-04
4.492800000000e+06 2.173934009079e-08 1.362629052426e-03 6.809067996762e-04 6.925469672377e-04
4.579200000000e+06 2.168169858557e-08 1.398581269094e-03 6.987975021349e-04 7.110092035630e-04
4.665600000000e+06 2.165637242394e-08 1.415061897536e-03 7.070084629180e-04 7.194628335856e-04
4.752000000000e+06 2.164298417263e-08 1.423705646822e-03 7.113245814440e-04 7.238864531762e-04
4.838400000000e+06 2.163206672499e-08 1.430880105529e-03 7.149100081129e-04 7.275554260299e-04
4.924800000000e+06 2.162033972127e-08 1.438908683660e-03 7.189192957569e-04 7.316648701093e-04
5.011200000000e+06 2.160728457918e-08 1.448116564251e-03 7.235153317499e-04 7.363805055504e-04
5.097600000000e+06 2.159294168674e-08 1.458260055608e-03 7.285812029925e-04 7.415720958777e-04
5.184000000000e+06 2.157682538844e-08 1.469119647749e-03 7.340179257273e-04 7.471149684610e-04
5.270400000000e+06 2.155763810668e-08 1.480670354205e-03 7.398332997356e-04 7.529734165286e-04
5.356800000000e+06 2.153339538935e-08 1.493056877928e-03 7.461316200893e-04 7.591860996296e-04
5.443200000000e+06 2.150143839413e-08 1.506769107314e-03 7.532003290826e-04 7.659572860505e-04
5.529600000000e+06 2.145815688272e-08 1.523094739866e-03 7.617348565097e-04 7.738901446893e-04
5.616000000000e+06 2.139582491762e-08 1.547131725933e-03 7.743510892000e-04 7.855210665979e-04
5.702400000000e+06 2.131477313600e-08 1.576073948497e-03 7.897642764145e-04 7.992902750868e-04
5.788800000000e+06 2.123709107161e-08 1.586392275270e-03 7.962589492967e-04 8.031124176650e-04
5.875200000000e+06 2.114350458179e-08 1.599225083352e-03 8.043882363092e-04 8.078214985403e-04
5.961600000000e+06 2.104823151380e-08 1.603327199021e-03 8.084412923310e-04 8.077620106980e-04
6.048000000000e+06 2.095022540109e-08 1.604691929751e-03 8.113165307062e-04 8.061067110452e-04
6.134400000000e+06 2.085164266965e-08 1.604582070642e-03 8.135656219822e-04 8.035870329920e-04
6.220800000000e+06 2.075469907255e-08 1.603020572579e-03 8.151349722239e-04 8.002834894315e-04
6.307200000000e+06 2.066024417060e-08 1.600494009725e-03 8.162279106890e-04 7.964866527341e-04
6.393600000000e+06 2.056780602087e-08 1.597984471037e-03 8.173246831110e-04 7.927096770804e-04
6.480000000000e+06 2.047692156518e-08 1.595903079894e-03 8.186331679057e-04 7.891598616597e-04
6.566400000000e+06 2.025352906757e-08 1.873879613389e-03 9.628936083721e-04 9.259403924525e-04
6.652800000000e+06 2.017869864793e-08 1.867913345733e-03 9.622604451373e-04 9.204140727323e-04
6.739200000000e+06 2.010978026375e-08 1.862395789062e-03 9.616774321683e-04 9.153033147877e-04
6.825600000000e+06 2.004644389439e-08 1.857309695237e-03 9.611450188140e-04 9.105893039013e-04
6.912000000000e+06 1.998923526934e-08 1.852704876510e-03 9.606669300376e-04 9.063190437311e-04
6.998400000000e+06 1.993914837008e-08 1.848666726171e-03 9.602501760896e-04 9.025729665541e-04
7.084800000000e+06 1.989686993152e-08 1.845254049220e-03 9.598993419665e-04 8.994065593026e-04
7.171200000000e+06 1.986242131783e-08 1.842471025778e-03 9.596138283328e-04 8.968242818844e-04
7.257600000000e+06 1.983522157499e-08 1.840272631553e-03 9.593884114273e-04 8.947846373389e-04
7.344000000000e+06 1.981433196489e-08 1.838583976061e-03 9.592151684015e-04 8.932181751708e-04
7.430400000000e+06 1.979868708299e-08 1.837318945857e-03 9.590852782472e-04 8.920448755414e-04
7.516800000000e+06 1.978724860921e-08 1.836393922565e-03 9.589902787754e-04 8.911870011682e-04
7.603200000000e+06 1.977911204913e-08 1.835735528915e-03 9.589228114566e-04 8.905762985181e-04
7.689600000000e+06 1.977352847583e-08 1.835283030892e-03 9.588768029885e-04 8.901562739929e-04
7.776000000000e+06 1.976990182797e-08 1.834988080737e-03 9.588474137860e-04 8.898819674363e-04
7.862400000000e+06 1.976776921786e-08 1.834813132551e-03 9.588308678959e-04 8.897184841705e-04
7.948800000000e+06 1.976677523078e-08 1.834729379955e-03 9.588242429531e-04 8.896390771163e-04
8.035200000000e+06 1.976664677597e-08 1.834714727915e-03 9.588252668579e-04 8.896232593705e-04
8.121600000000e+06 1.976717146205e-08 1.834752035513e-03 9.588321449945e-04 8.896551670227e-04
8.208000000000e+06 1.976818638580e-08 1.834828242509e-03 9.588435008126e-04 8.897227180756e-04
8.294400000000e+06 1.976956963831e-08 1.834933557993e-03 9.588582860685e-04 8.898168716756e-04
8.380800000000e+06 1.977122771644e-08 1.835060475978e-03 9.588756810310e-04 8.899307124840e-04
8.467200000000e+06 1.977309480894e-08 1.835203709871e-03 9.588951078038e-04 8.900593690700e-04
8.553600000000e+06 1.977512714932e-08 1.835359778788e-03 9.589161820414e-04 8.901996375089e-04
8.640000000000e+06 1.977729772180e-08 1.835526536812e-03 9.589386598646e-04 8.903495488691e-04
8.726400000000e+06 2.081128834940e-08 1.080851176542e-03 5.660141495677e-04 5.208293885350e-04
8.812800000000e+06 2.054767622364e-08 1.169947864500e-03 6.124935187596e-04 5.642525250522e-04
8.899200000000e+06 2.042497058710e-08 1.220427869620e-03 6.387978673329e-04 5.889002016296e-04
8.985600000000e+06 2.028191307359e-08 1.290193554527e-03 6.751611268837e-04 6.229754017320e-04
9.072000000000e+06 2.016287242821e-08 1.354557717398e-03 7.089400911992e-04 6.541882239898e-04
9.158400000000e+06 2.007917862409e-08 1.385369074527e-03 7.259363280044e-04 6.682703523946e-04
9.244800000000e+06 1.997800248925e-08 1.402946778327e-03 7.369744523467e-04 6.748956676034e-04
9.331200000000e+06 1.985650901497e-08 1.411038349525e-03 7.438502272231e-04 6.760563493996e-04
