# Observation File: surface_total_concentration_crunch.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface total concentration
# Region: east conc
# Functional: average
# Variable: surface-total_component_concentration
# Number of Vectors: 4
# =============================================================================
"time [s]" "surface total concentration"
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
8.640000000000e+04 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.728000000000e+05 1.243605770207e-06 3.718968287470e-05 1.797303855225e-05 1.796532842551e-05
2.592000000000e+05 1.243605387261e-06 3.718966051299e-05 1.797302756286e-05 1.796531779370e-05
3.456000000000e+05 1.243604903497e-06 3.718966054588e-05 1.797302782119e-05 1.796531758295e-05
4.320000000000e+05 1.243604868044e-06 3.718966038685e-05 1.797302775940e-05 1.796531749204e-05
5.184000000000e+05 1.243604862483e-06 3.718966026234e-05 1.797302769993e-05 1.796531743124e-05
6.048000000000e+05 1.243604859928e-06 3.718966018599e-05 1.797302766303e-05 1.796531739435e-05
6.912000000000e+05 1.243604858552e-06 3.718966014406e-05 1.797302764275e-05 1.796531737411e-05
7.776000000000e+05 1.243604857291e-06 3.718966010683e-05 1.797302762477e-05 1.796531735612e-05
8.640000000000e+05 1.243604854885e-06 3.718966003437e-05 1.797302758974e-05 1.796531732112e-05
9.504000000000e+05 1.243604854707e-06 3.718966003062e-05 1.797302758796e-05 1.796531731929e-05
1.036800000000e+06 1.243604856590e-06 3.718966008279e-05 1.797302761310e-05 1.796531734455e-05
1.123200000000e+06 1.243604857112e-06 3.718966010100e-05 1.797302762194e-05 1.796531735331e-05
1.209600000000e+06 1.243604857188e-06 3.718966010329e-05 1.797302762305e-05 1.796531735441e-05
1.296000000000e+06 1.243604856766e-06 3.718966008865e-05 1.797302761594e-05 1.796531734737e-05
1.382400000000e+06 1.243604854487e-06 3.718966002160e-05 1.797302758356e-05 1.796531731497e-05
1.468800000000e+06 1.243604853189e-06 3.718965998243e-05 1.797302756462e-05 1.796531729605e-05
1.555200000000e+06 1.243604853686e-06 3.718965999395e-05 1.797302757013e-05 1.796531730167e-05
1.641600000000e+06 1.243604854346e-06 3.718966001513e-05 1.797302758039e-05 1.796531731188e-05
1.728000000000e+06 1.243604854294e-06 3.718966001738e-05 1.797302758155e-05 1.796531731290e-05
1.814400000000e+06 1.243604855005e-06 3.718966003366e-05 1.797302758933e-05 1.796531732085e-05
1.900800000000e+06 1.243604855180e-06 3.718966004079e-05 1.797302759281e-05 1.796531732426e-05
1.987200000000e+06 1.243604854444e-06 3.718966002236e-05 1.797302758396e-05 1.796531731530e-05
2.073600000000e+06 1.243604854420e-06 3.718966001806e-05 1.797302758182e-05 1.796531731328e-05
2.160000000000e+06 1.243604853481e-06 3.718965998741e-05 1.797302756697e-05 1.796531729852e-05
2.246400000000e+06 1.243604851858e-06 3.718965994384e-05 1.797302754599e-05 1.796531727739e-05
2.332800000000e+06 1.243604850276e-06 3.718965989208e-05 1.797302752090e-05 1.796531725246e-05
2.419200000000e+06 1.243604847575e-06 3.718965981411e-05 1.797302748327e-05 1.796531721474e-05
2.505600000000e+06 1.243604843707e-06 3.718965969237e-05 1.797302742433e-05 1.796531715603e-05
2.592000000000e+06 1.243604844246e-06 3.718965970968e-05 1.797302743272e-05 1.796531716438e-05
2.678400000000e+06 1.243604845119e-06 3.718965974260e-05 1.797302744874e-05 1.796531718017e-05
2.764800000000e+06 1.243604847317e-06 3.718965979167e-05 1.797302747217e-05 1.796531720413e-05
2.851200000000e+06 1.243604847795e-06 3.718965980944e-05 1.797302748082e-05 1.796531721267e-05
2.937600000000e+06 1.243604848878e-06 3.718965983861e-05 1.797302749487e-05 1.796531722681e-05
3.024000000000e+06 1.243604848757e-06 3.718965984690e-05 1.797302749907e-05 1.796531723063e-05
3.110400000000e+06 1.243604850079e-06 3.718965986848e-05 1.797302750920e-05 1.796531724133e-05
3.196800000000e+06 1.243604850334e-06 3.718965986983e-05 1.797302750975e-05 1.796531724208e-05
3.283200000000e+06 1.243604849947e-06 3.718965984872e-05 1.797302749939e-05 1.796531723204e-05
3.369600000000e+06 1.243604846479e-06 3.718965976359e-05 1.797302745856e-05 1.796531719062e-05
3.456000000000e+06 1.243604847464e-06 3.718965979171e-05 1.797302747212e-05 1.796531720422e-05
3.542400000000e+06 1.243604848154e-06 3.718965981219e-05 1.797302748202e-05 1.796531721412e-05
3.628800000000e+06 1.243604847125e-06 3.718965978763e-05 1.797302747025e-05 1.796531720216e-05
3.715200000000e+06 1.243604847125e-06 3.718965978458e-05 1.797302746873e-05 1.796531720073e-05
3.801600000000e+06 1.243604848304e-06 3.718965980980e-05 1.797302748075e-05 1.796531721307e-05
3.888000000000e+06 1.243604849763e-06 3.718965983006e-05 1.797302749015e-05 1.796531722323e-05
3.974400000000e+06 1.243604848931e-06 3.718965982844e-05 1.797302748975e-05 1.796531722208e-05
4.060800000000e+06 1.243604849506e-06 3.718965982505e-05 1.797302748777e-05 1.796531722076e-05
4.147200000000e+06 1.243604850055e-06 3.718965983290e-05 1.797302749142e-05 1.796531722469e-05
4.233600000000e+06 1.243604847407e-06 3.718965978997e-05 1.797302747128e-05 1.796531720339e-05
4.320000000000e+06 1.243604848729e-06 3.718965980199e-05 1.797302747663e-05 1.796531720962e-05
4.406400000000e+06 9.276027809838e-07 2.564887670875e-05 1.236069439462e-05 1.235523897890e-05
4.492800000000e+06 9.343982549241e-07 2.590263436949e-05 1.248438223918e-05 1.247832373401e-05
4.579200000000e+06 9.530308296198e-07 2.658767290787e-05 1.281788982653e-05 1.281097664077e-05
4.665600000000e+06 9.615350780707e-07 2.690178255052e-05 1.297103779038e-05 1.296329429884e-05
4.752000000000e+06 9.659636573419e-07 2.706653335159e-05 1.305156048662e-05 1.304299915633e-05
4.838400000000e+06 9.696376957752e-07 2.720329360304e-05 1.311846151364e-05 1.310910677531e-05
4.924800000000e+06 9.737648102908e-07 2.735636174682e-05 1.319328362290e-05 1.318315081278e-05
5.011200000000e+06 9.785045986994e-07 2.753193812071e-05 1.327907175123e-05 1.326811721713e-05
5.097600000000e+06 9.837070106720e-07 2.772536612132e-05 1.337364906822e-05 1.336165938518e-05
5.184000000000e+06 9.892048714861e-07 2.793242829144e-05 1.347517195096e-05 1.346153096326e-05
5.270400000000e+06 9.948957762722e-07 2.815259318444e-05 1.358378882872e-05 1.356708858610e-05
5.356800000000e+06 1.000730828220e-06 2.838854661376e-05 1.370144941665e-05 1.367902882216e-05
5.443200000000e+06 1.006814037797e-06 2.864955080047e-05 1.383352655699e-05 1.380103218109e-05
5.529600000000e+06 1.013641052145e-06 2.896009654172e-05 1.399302638528e-05 1.394396657098e-05
5.616000000000e+06 1.023617545989e-06 2.941742699442e-05 1.422889780253e-05 1.415353273149e-05
5.702400000000e+06 1.034965085675e-06 2.996788886889e-05 1.451718651061e-05 1.440162657814e-05
5.788800000000e+06 1.035611062146e-06 3.016204318581e-05 1.463856517122e-05 1.447049401198e-05
5.875200000000e+06 1.036488436921e-06 3.040365633671e-05 1.479051487860e-05 1.455534231604e-05
5.961600000000e+06 1.032203063519e-06 3.047809388187e-05 1.486608510566e-05 1.455427046303e-05
6.048000000000e+06 1.026144030050e-06 3.050004476710e-05 1.491955379054e-05 1.452444524406e-05
6.134400000000e+06 1.019196337262e-06 3.049377975522e-05 1.496126480969e-05 1.447904563949e-05
6.220800000000e+06 1.011549123121e-06 3.045983880345e-05 1.499022511158e-05 1.441952233210e-05
6.307200000000e+06 1.003545457884e-06 3.040757071101e-05 1.501025084048e-05 1.435111086007e-05
6.393600000000e+06 9.956969948628e-07 3.035574777324e-05 1.503034355882e-05 1.428305724469e-05
6.480000000000e+06 9.881922573631e-07 3.031221259343e-05 1.505439878159e-05 1.421909660648e-05
6.566400000000e+06 1.115003638998e-06 3.562641960113e-05 1.776423062952e-05 1.668361067482e-05
6.652800000000e+06 1.105761231935e-06 3.550872696986e-05 1.775176210068e-05 1.658403734653e-05
6.739200000000e+06 1.097261460056e-06 3.539993035955e-05 1.774027708090e-05 1.649195161780e-05
6.825600000000e+06 1.089462812844e-06 3.529967825271e-05 1.772978228646e-05 1.640701448471e-05
6.912000000000e+06 1.082429936790e-06 3.520894090624e-05 1.772035299932e-05 1.633007286002e-05
6.998400000000e+06 1.076282963347e-06 3.512939098553e-05 1.771213041107e-05 1.626257597395e-05
7.084800000000e+06 1.071102209972e-06 3.506217725386e-05 1.770520678346e-05 1.620552359104e-05
7.171200000000e+06 1.066886401087e-06 3.500737400281e-05 1.769957148910e-05 1.615899606999e-05
7.257600000000e+06 1.063561662420e-06 3.496408892310e-05 1.769512234318e-05 1.612224571782e-05
7.344000000000e+06 1.061010922598e-06 3.493084358079e-05 1.769170328660e-05 1.609402117425e-05
7.430400000000e+06 1.059101772097e-06 3.490593992436e-05 1.768913988895e-05 1.607288064039e-05
7.516800000000e+06 1.057706775681e-06 3.488773081465e-05 1.768726517053e-05 1.605742344447e-05
7.603200000000e+06 1.056714650728e-06 3.487477109745e-05 1.768593356170e-05 1.604641979312e-05
7.689600000000e+06 1.056033585813e-06 3.486586500910e-05 1.768502496712e-05 1.603885178366e-05
7.776000000000e+06 1.055590630724e-06 3.486006079583e-05 1.768444369883e-05 1.603390932318e-05
7.862400000000e+06 1.055329205332e-06 3.485661941271e-05 1.768411512547e-05 1.603096367875e-05
7.948800000000e+06 1.055205919995e-06 3.485497385769e-05 1.768398152374e-05 1.602953292101e-05
8.035200000000e+06 1.055187482283e-06 3.485468921403e-05 1.768399805878e-05 1.602924791659e-05
8.121600000000e+06 1.055248045178e-06 3.485542806095e-05 1.768412936696e-05 1.602982282924e-05
8.208000000000e+06 1.055367831260e-06 3.485693323881e-05 1.768434833629e-05 1.603103996533e-05
8.294400000000e+06 1.055532045117e-06 3.485901198457e-05 1.768463434653e-05 1.603273642659e-05
8.380800000000e+06 1.055729353593e-06 3.486151652756e-05 1.768497129914e-05 1.603478761232e-05
8.467200000000e+06 1.055951745859e-06 3.486434274213e-05 1.768534782303e-05 1.603710574901e-05
8.553600000000e+06 1.056193943457e-06 3.486742208812e-05 1.768575638219e-05 1.603963310827e-05
8.640000000000e+06 1.056452685290e-06 3.487071229797e-05 1.768619219884e-05 1.604233421386e-05
8.726400000000e+06 7.140829320560e-07 2.049376690918e-05 1.034511021125e-05 9.384313306937e-06
8.812800000000e+06 7.541192425119e-07 2.218267249634e-05 1.120721582487e-05 1.016671216310e-05
8.899200000000e+06 7.768933647441e-07 2.314065348567e-05 1.169589174464e-05 1.061081444378e-05
8.985600000000e+06 8.084796162841e-07 2.446591210588e-05 1.237234015141e-05 1.122478201319e-05
9.072000000000e+06 8.371148840872e-07 2.568948300889e-05 1.300160206276e-05 1.178717520702e-05
9.158400000000e+06 8.487812161345e-07 2.627441911906e-05 1.331840684583e-05 1.204090725035e-05
9.244800000000e+06 8.519725109439e-07 2.660620901565e-05 1.352404716388e-05 1.216028229916e-05
9.331200000000e+06 8.486997447781e-07 2.675619363460e-05 1.365193177526e-05 1.218119548468e-05
