# Observation File: surface_total_concentration_pflotran.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface total concentration
# Region: east conc
# Functional: average
# Variable: surface-total_component_concentration
# Number of Vectors: 4
# =============================================================================
"time [s]" "surface total concentration"
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
8.640000000000e+04 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.728000000000e+05 1.255321028420e-06 3.729137908516e-05 1.801802902837e-05 1.801802902837e-05
2.592000000000e+05 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
3.456000000000e+05 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
4.320000000000e+05 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
5.184000000000e+05 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
6.048000000000e+05 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
6.912000000000e+05 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
7.776000000000e+05 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
8.640000000000e+05 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
9.504000000000e+05 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
1.036800000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
1.123200000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
1.209600000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
1.296000000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
1.382400000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
1.468800000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
1.555200000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
1.641600000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
1.728000000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
1.814400000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
1.900800000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
1.987200000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
2.073600000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
2.160000000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
2.246400000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
2.332800000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
2.419200000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
2.505600000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
2.592000000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
2.678400000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
2.764800000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
2.851200000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
2.937600000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
3.024000000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
3.110400000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
3.196800000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
3.283200000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
3.369600000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
3.456000000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
3.542400000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
3.628800000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
3.715200000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
3.801600000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
3.888000000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
3.974400000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
4.060800000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
4.147200000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
4.233600000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
4.320000000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
4.406400000000e+06 3.986510633009e-07 2.625787159575e-05 1.292961396417e-05 1.239230099007e-05
4.492800000000e+06 4.161585707487e-07 2.650363233486e-05 1.304375530720e-05 1.251685006083e-05
4.579200000000e+06 4.662824624068e-07 2.716110029388e-05 1.334743496693e-05 1.285163328603e-05
4.665600000000e+06 4.899404478665e-07 2.746266316045e-05 1.348638874761e-05 1.300550707040e-05
4.752000000000e+06 5.030964947753e-07 2.762065146465e-05 1.355880612714e-05 1.308648117579e-05
4.838400000000e+06 5.136985714270e-07 2.775219398870e-05 1.361927649804e-05 1.315373541051e-05
4.924800000000e+06 5.254056524555e-07 2.789933775932e-05 1.368699500733e-05 1.322889403225e-05
5.011200000000e+06 5.385584284790e-07 2.806386890632e-05 1.376318139446e-05 1.331249301132e-05
5.097600000000e+06 5.532772067218e-07 2.824617882211e-05 1.384793845763e-05 1.340480545050e-05
5.184000000000e+06 5.692321469859e-07 2.844214128808e-05 1.393911935287e-05 1.350395834041e-05
5.270400000000e+06 5.863447248117e-07 2.865079241778e-05 1.403655717943e-05 1.360919763141e-05
5.356800000000e+06 6.048198734064e-07 2.887436902816e-05 1.414193061262e-05 1.372105172475e-05
5.443200000000e+06 6.253874454034e-07 2.912151183368e-05 1.426004353506e-05 1.384315163800e-05
5.529600000000e+06 6.499812182303e-07 2.941543230881e-05 1.440256823638e-05 1.398641697909e-05
5.616000000000e+06 6.861591704443e-07 2.984863172190e-05 1.461353685906e-05 1.419671387326e-05
5.702400000000e+06 7.305448736910e-07 3.036893216788e-05 1.487059177383e-05 1.444582460194e-05
5.788800000000e+06 7.486200874315e-07 3.054774619122e-05 1.497608154561e-05 1.451521862212e-05
5.875200000000e+06 7.685217355809e-07 3.077281220134e-05 1.511091782653e-05 1.460061226521e-05
5.961600000000e+06 7.760980917732e-07 3.083738697352e-05 1.517643953722e-05 1.459972832561e-05
6.048000000000e+06 7.788219661958e-07 3.085236187013e-05 1.522294918574e-05 1.456989995367e-05
6.134400000000e+06 7.791678418324e-07 3.084046329068e-05 1.525918310052e-05 1.452436514266e-05
6.220800000000e+06 7.773106486852e-07 3.080224382347e-05 1.528412304703e-05 1.446460976266e-05
6.307200000000e+06 7.739500333122e-07 3.074675006092e-05 1.530122981583e-05 1.439591936745e-05
6.393600000000e+06 7.705401374910e-07 3.069191483558e-05 1.531860294570e-05 1.432759910406e-05
6.480000000000e+06 7.677726046472e-07 3.064514742095e-05 1.533966410655e-05 1.426342240030e-05
6.566400000000e+06 1.124887946747e-06 3.575062646544e-05 1.783258162222e-05 1.673566742038e-05
6.652800000000e+06 1.115553642413e-06 3.563450659235e-05 1.782187309287e-05 1.663592530255e-05
6.739200000000e+06 1.106970441032e-06 3.552726625088e-05 1.781203499589e-05 1.654376103548e-05
6.825600000000e+06 1.099106199507e-06 3.542859781088e-05 1.780308100018e-05 1.645887071911e-05
6.912000000000e+06 1.092025367045e-06 3.533942720551e-05 1.779506714499e-05 1.638207752777e-05
6.998400000000e+06 1.085848957897e-06 3.526139772262e-05 1.778810659998e-05 1.631482944663e-05
7.084800000000e+06 1.080654685021e-06 3.519560260859e-05 1.778226814123e-05 1.625809608966e-05
7.171200000000e+06 1.076437530755e-06 3.514207214421e-05 1.777753378217e-05 1.621192335038e-05
7.257600000000e+06 1.073119791019e-06 3.509989049088e-05 1.777380977592e-05 1.617553348091e-05
7.344000000000e+06 1.070581305050e-06 3.506757737535e-05 1.777095924540e-05 1.614765536374e-05
7.430400000000e+06 1.068686618316e-06 3.504343741193e-05 1.776883091778e-05 1.612682788617e-05
7.516800000000e+06 1.067307337178e-06 3.502585068989e-05 1.776728277774e-05 1.611165255053e-05
7.603200000000e+06 1.066341595478e-06 3.501352779553e-05 1.776620166487e-05 1.610101620548e-05
7.689600000000e+06 1.066065956905e-06 3.501000887476e-05 1.776589397572e-05 1.609797799548e-05
7.776000000000e+06 1.066065956905e-06 3.501000887476e-05 1.776589397572e-05 1.609797799548e-05
7.862400000000e+06 1.066065956905e-06 3.501000887476e-05 1.776589397572e-05 1.609797799548e-05
7.948800000000e+06 1.066065956905e-06 3.501000887476e-05 1.776589397572e-05 1.609797799548e-05
8.035200000000e+06 1.066065956905e-06 3.501000887476e-05 1.776589397572e-05 1.609797799548e-05
8.121600000000e+06 1.066065956905e-06 3.501000887476e-05 1.776589397572e-05 1.609797799548e-05
8.208000000000e+06 1.066065956905e-06 3.501000887476e-05 1.776589397572e-05 1.609797799548e-05
8.294400000000e+06 1.066065956905e-06 3.501000887476e-05 1.776589397572e-05 1.609797799548e-05
8.380800000000e+06 1.066065956905e-06 3.501000887476e-05 1.776589397572e-05 1.609797799548e-05
8.467200000000e+06 1.066065956905e-06 3.501000887476e-05 1.776589397572e-05 1.609797799548e-05
8.553600000000e+06 1.066065956905e-06 3.501000887476e-05 1.776589397572e-05 1.609797799548e-05
8.640000000000e+06 1.066022246929e-06 3.500945066492e-05 1.776584600073e-05 1.609749526753e-05
8.726400000000e+06 1.530339573228e-07 2.114289582891e-05 1.095972560631e-05 9.416269838393e-06
8.812800000000e+06 2.544585944586e-07 2.277991672752e-05 1.176631398270e-05 1.020210155321e-05
8.899200000000e+06 3.176324641069e-07 2.370158621057e-05 1.221753628139e-05 1.064728160403e-05
8.985600000000e+06 4.058046261256e-07 2.497398876158e-05 1.283975960008e-05 1.126254269890e-05
9.072000000000e+06 4.918478169959e-07 2.614377277333e-05 1.341296575248e-05 1.182708324973e-05
9.158400000000e+06 5.369329651829e-07 2.669851492066e-05 1.369859431044e-05 1.208174643413e-05
9.244800000000e+06 5.621909492133e-07 2.701099883850e-05 1.388444991782e-05 1.220157883468e-05
9.331200000000e+06 5.740625008030e-07 2.714837392216e-05 1.399956261230e-05 1.222265176840e-05
