12h,,,24h,,,50h,
total water content,z,,total water content,z,,total water content,z
0.343053173,0.325443787,,0.329867675,0.387096774,,0.27961165,0.38647343
0.344768439,1.420118343,,0.327032136,1.419354839,,0.277669903,1.481481481
0.343910806,2.426035503,,0.326086957,2.483870968,,0.276699029,2.512077295
0.343910806,3.520710059,,0.324196597,3.580645161,,0.274757282,3.413848631
0.341337907,4.467455621,,0.31852552,4.612903226,,0.276699029,4.444444444
0.337049743,5.443786982,,0.31852552,5.580645161,,0.269902913,5.3784219
0.335334477,6.479289941,,0.314744802,6.64516129,,0.269902913,6.441223833
0.333619211,7.485207101,,0.309073724,7.64516129,,0.291262136,7.375201288
0.329331046,8.609467456,,0.301512287,8.709677419,,0.351456311,8.438003221
0.323327616,9.644970414,,0.296786389,9.612903226,,0.377669903,9.404186795
0.313036021,10.59171598,,0.288279773,10.67741935,,0.390291262,10.40257649
0.310463122,11.68639053,,0.277882798,11.64516129,,0.393203883,11.40096618
0.304459691,12.75147929,,0.345935728,12.64516129,,0.393203883,12.39935588
0.293310463,13.75739645,,0.38657845,13.64516129,,0.388349515,13.36553945
0.348198971,14.67455621,,0.405482042,14.74193548,,0.394174757,14.36392915
0.397084048,15.65088757,,0.398865784,15.77419355,,0.399029126,15.36231884
0.404802744,16.74556213,,0.395085066,16.80645161,,0.399029126,16.39291465
0.403945111,17.81065089,,0.393194707,17.83870968,,0.4,17.32689211
0.423670669,18.81656805,,0.402646503,18.80645161,,0.402912621,18.35748792
0.420240137,19.8816568,,0.373345936,19.77419355,,0.408737864,19.3236715
