# Observation File: water_balance.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: runoff generation [mol d^-1]
# Region: outlet
# Functional: extensive integral
# Variable: surface-mass_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evapotranspiration [m d^-1]
# Region: surface domain
# Functional: average
# Variable: surface-total_evapotranspiration
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow precipitation [m d^-1]
# Region: surface domain
# Functional: average
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow melt [m d^-1]
# Region: surface domain
# Functional: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain precipitation [m d^-1]
# Region: surface domain
# Functional: average
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Functional: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Functional: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# =============================================================================
"time [d]","runoff generation [mol d^-1]","evapotranspiration [m d^-1]","snow precipitation [m d^-1]","snow melt [m d^-1]","rain precipitation [m d^-1]","surface water content [mol]","subsurface water content [mol]","snow water content [mol]"
3.280000000000e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.443859061281e+02,2.110009246381e+08,0.000000000000e+00
3.290000000000e+02,7.164988261673e+03,0.000000000000e+00,1.004651162791e-02,0.000000000000e+00,0.000000000000e+00,4.373719779262e+02,2.109934666648e+08,5.525581395349e+05
3.300000000000e+02,7.430659723677e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.470128867124e+02,2.109860263642e+08,5.525581395349e+05
3.310000000000e+02,7.429103181218e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.469568093840e+02,2.109785973171e+08,5.525581395349e+05
3.320000000000e+02,7.419237782616e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.466012801270e+02,2.109711784348e+08,5.525581395349e+05
3.330000000000e+02,7.409702324290e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.462574604615e+02,2.109637689669e+08,5.525581395349e+05
3.340000000000e+02,7.400633086646e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.459302861020e+02,2.109563686120e+08,5.525581395349e+05
3.350000000000e+02,7.391945532460e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.456167297498e+02,2.109489769559e+08,5.525581395349e+05
3.360000000000e+02,7.383568001730e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.453142225074e+02,2.109415936427e+08,5.525581395349e+05
3.370000000000e+02,7.375456793258e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.450212003980e+02,2.109342184789e+08,5.525581395349e+05
3.380000000000e+02,7.367583210684e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.447366386380e+02,2.109268511802e+08,5.525581395349e+05
3.390000000000e+02,7.359924572161e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.444597278442e+02,2.109194915263e+08,5.525581395349e+05
3.400000000000e+02,9.099912935718e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.009302325581e-03,5.138726258307e+02,2.110208338109e+08,5.525581395349e+05
3.410000000000e+02,7.797857510872e+03,0.000000000000e+00,1.105116279070e-02,0.000000000000e+00,0.000000000000e+00,4.561826175633e+02,2.110130936495e+08,1.160372093023e+06
3.420000000000e+02,7.577986660002e+03,0.000000000000e+00,4.018604651163e-03,0.000000000000e+00,0.000000000000e+00,4.522994151650e+02,2.110055195562e+08,1.381395348837e+06
3.430000000000e+02,7.522559843078e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.503154302136e+02,2.109979989804e+08,1.381395348837e+06
3.440000000000e+02,7.486387220543e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.490174704681e+02,2.109905139626e+08,1.381395348837e+06
3.450000000000e+02,7.459848865727e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.480636059927e+02,2.109830550676e+08,1.381395348837e+06
3.460000000000e+02,7.438817119082e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.473066947631e+02,2.109756170085e+08,1.381395348837e+06
3.470000000000e+02,7.421216374939e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.466725998811e+02,2.109681964264e+08,1.381395348837e+06
3.480000000000e+02,7.405956582420e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.461223516970e+02,2.109607910201e+08,1.381395348837e+06
3.490000000000e+02,7.392379417874e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.456323933152e+02,2.109533991306e+08,1.381395348837e+06
3.500000000000e+02,7.380066416982e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.451877416213e+02,2.109460195089e+08,1.381395348837e+06
3.510000000000e+02,7.368738036403e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.447783832306e+02,2.109386515625e+08,1.381395348837e+06
3.520000000000e+02,7.358197291953e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.443972591426e+02,2.109312937463e+08,1.381395348837e+06
3.530000000000e+02,7.348303720124e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.440393351501e+02,2.109239459899e+08,1.381395348837e+06
3.540000000000e+02,7.338950398086e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.437007776921e+02,2.109166075202e+08,1.381395348837e+06
3.550000000000e+02,7.330056640985e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.433786938408e+02,2.109092778966e+08,1.381395348837e+06
3.560000000000e+02,7.321562160787e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.430709228293e+02,2.109019566422e+08,1.381395348837e+06
3.570000000000e+02,7.313407164639e+03,0.000000000000e+00,2.009302325581e-03,0.000000000000e+00,0.000000000000e+00,4.427753167870e+02,2.108946435306e+08,1.491906976744e+06
3.580000000000e+02,7.305555261688e+03,0.000000000000e+00,7.032558139535e-03,0.000000000000e+00,0.000000000000e+00,4.424905720805e+02,2.108873382601e+08,1.878697674419e+06
3.590000000000e+02,7.297976059483e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.422155999115e+02,2.108800405590e+08,1.878697674419e+06
3.600000000000e+02,7.290642817551e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.419494417724e+02,2.108727501824e+08,1.878697674419e+06
3.610000000000e+02,7.283532165950e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.416912596322e+02,2.108654669442e+08,1.878697674419e+06
3.620000000000e+02,7.276624782951e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.414403609080e+02,2.108581905703e+08,1.878697674419e+06
3.630000000000e+02,7.269903251857e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.411961209397e+02,2.108509209374e+08,1.878697674419e+06
3.640000000000e+02,7.263352319946e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.409579926003e+02,2.108436578232e+08,1.878697674419e+06
3.650000000000e+02,7.256958975686e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.407255093011e+02,2.108364011160e+08,1.878697674419e+06
3.660000000000e+02,7.250711752543e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.404982598508e+02,2.108291506484e+08,1.878697674419e+06
3.670000000000e+02,7.244600624983e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.402758848026e+02,2.108219062847e+08,1.878697674419e+06
3.680000000000e+02,7.238616667627e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.400580641621e+02,2.108146678987e+08,1.878697674419e+06
3.690000000000e+02,7.232751915702e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.398445123952e+02,2.108074353714e+08,1.878697674419e+06
3.700000000000e+02,7.226999230791e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.396349736137e+02,2.108002085915e+08,1.878697674419e+06
3.710000000000e+02,7.221352172038e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.394292169462e+02,2.107929874537e+08,1.878697674419e+06
3.720000000000e+02,7.215805095722e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.392270402214e+02,2.107857718508e+08,1.878697674419e+06
3.730000000000e+02,7.210352546685e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.390282478338e+02,2.107785617037e+08,1.878697674419e+06
3.740000000000e+02,7.204989522518e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.388326604000e+02,2.107713569158e+08,1.878697674419e+06
