# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water content [mol]
# Region: domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: discharge [mol/d]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface-subsurface exchange [mol/d]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: thaw depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: water table depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-water_table_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: perched water table depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-perched_water_table_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow [m3SWE/d]
# Region: surface domain
# Reduction: integral
# Variable: snow-precipitation
# Number of Vectors: 1
# =============================================================================
"time [d]" "water content [mol]" "surface water content [mol]" "snow water content [mol]" "evaporation [m3/d]" "discharge [mol/d]" "surface-subsurface exchange [mol/d]" "thaw depth [m]" "water table depth [m]" "perched water table depth [m]" "rain [m3/d]" "snow [m3SWE/d]"
0.000000000000e+00 1.773063389365e+10 0.000000000000e+00 2.659830958046e+07 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 2.000000000001e-02 2.000000000000e-02 0.000000000000e+00 0.000000000000e+00
1.000000000000e+00 1.765415837894e+10 2.773731490819e+07 2.664180235380e+07 -1.325707587865e-03 4.873820002838e+07 7.647551493657e+07 0.000000000000e+00 -5.689893001204e-16 -5.689893001204e-16 0.000000000000e+00 0.000000000000e+00
2.000000000000e+00 1.761293949516e+10 3.727790041635e+07 2.664214072038e+07 -7.047627147593e-03 3.167828830106e+07 4.121887380922e+07 0.000000000000e+00 -5.689893001204e-16 -5.689893001204e-16 0.000000000000e+00 0.000000000000e+00
3.000000000000e+00 1.758003543275e+10 4.583286260651e+07 2.664219743797e+07 -8.485628501074e-03 2.434909535564e+07 3.290405754580e+07 0.000000000000e+00 -5.689893001204e-16 -5.689893001204e-16 0.000000000000e+00 0.000000000000e+00
4.000000000000e+00 1.755297252231e+10 5.432075498286e+07 2.664170425094e+07 -5.270766745515e-03 1.857501985096e+07 2.706291222731e+07 0.000000000000e+00 2.000000000000e-03 2.000000000000e-03 0.000000000000e+00 0.000000000000e+00
5.000000000000e+00 1.753051312454e+10 6.212608083336e+07 3.005755796691e+07 -3.570075104601e-02 1.465406126480e+07 2.245938711531e+07 0.000000000000e+00 7.000000000000e-03 7.000000000001e-03 0.000000000000e+00 6.152420353371e+01
6.000000000000e+00 1.751179545266e+10 6.909506699490e+07 3.325149524311e+07 -3.711749682283e-02 1.174868195497e+07 1.871766811651e+07 0.000000000000e+00 1.200000000000e-02 1.200000000000e-02 0.000000000000e+00 5.753293419281e+01
7.000000000000e+00 1.749620582862e+10 7.635805817886e+07 3.325029496685e+07 -7.503328619386e-03 8.326633083588e+06 1.558962426754e+07 0.000000000000e+00 1.600000000009e-02 1.600000000009e-02 0.000000000000e+00 0.000000000000e+00
8.000000000000e+00 1.748319594035e+10 8.317576420719e+07 3.325030797284e+07 -2.817564492155e-02 6.192186032291e+06 1.300989206062e+07 0.000000000000e+00 1.823584409327e-02 1.823584409327e-02 0.000000000000e+00 0.000000000000e+00
9.000000000000e+00 1.747228369885e+10 8.987869555745e+07 3.324924344166e+07 -3.057881238479e-02 4.209308929059e+06 1.091224027932e+07 0.000000000000e+00 2.550760036370e-02 2.550760036370e-02 0.000000000000e+00 0.000000000000e+00
