# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water content [mol]
# Region: domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: discharge [mol/d]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface-subsurface exchange [mol/d]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: thaw depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: water table depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-water_table_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: perched water table depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-perched_water_table_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow [m3SWE/d]
# Region: surface domain
# Reduction: integral
# Variable: snow-precipitation
# Number of Vectors: 1
# =============================================================================
"time [d]" "water content [mol]" "surface water content [mol]" "snow water content [mol]" "evaporation [m3/d]" "discharge [mol/d]" "surface-subsurface exchange [mol/d]" "thaw depth [m]" "water table depth [m]" "perched water table depth [m]" "rain [m3/d]" "snow [m3SWE/d]"
0.000000000000e+00 1.773063389365e+10 0.000000000000e+00 2.659830958046e+07 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 2.000000000001e-02 2.000000000000e-02 0.000000000000e+00 0.000000000000e+00
1.000000000000e+00 1.768475671871e+10 2.528318190258e+07 2.664179066806e+07 -1.325931122055e-03 2.059399138214e+07 4.587717328473e+07 0.000000000000e+00 -5.689893001204e-16 -5.689893001204e-16 0.000000000000e+00 0.000000000000e+00
2.000000000000e+00 1.766079653724e+10 3.519349553878e+07 2.664217223912e+07 -7.091461902788e-03 1.404986698533e+07 2.396018062153e+07 0.000000000000e+00 -5.689893001204e-16 -5.689893001204e-16 0.000000000000e+00 0.000000000000e+00
3.000000000000e+00 1.764085035497e+10 4.432514856397e+07 2.664262851679e+07 -8.474329485082e-03 1.081453109262e+07 1.994618411781e+07 0.000000000000e+00 -5.689893001204e-16 -5.689893001204e-16 0.000000000000e+00 0.000000000000e+00
4.000000000000e+00 1.762318933765e+10 5.351842151081e+07 2.664285436458e+07 -5.273861373712e-03 8.467741317293e+06 1.766101426414e+07 0.000000000000e+00 -5.689893001204e-16 -5.689893001204e-16 0.000000000000e+00 0.000000000000e+00
5.000000000000e+00 1.760722541512e+10 6.200091654670e+07 3.009477660807e+07 -3.602356498685e-02 7.481423771511e+06 1.596391880741e+07 0.000000000000e+00 -5.689893001204e-16 -5.689893001204e-16 0.000000000000e+00 6.215845023639e+01
6.000000000000e+00 1.759265980376e+10 6.959047764016e+07 3.322248408215e+07 -3.660009662403e-02 6.976049682360e+06 1.456561077581e+07 0.000000000000e+00 -5.689893001204e-16 -5.689893001204e-16 0.000000000000e+00 5.631819524045e+01
7.000000000000e+00 1.757930347075e+10 7.761971662704e+07 3.322262680373e+07 -7.443739894461e-03 5.327094502320e+06 1.335633348920e+07 0.000000000000e+00 -5.689893001204e-16 -5.689893001204e-16 0.000000000000e+00 0.000000000000e+00
8.000000000000e+00 1.756702211436e+10 8.529654438987e+07 3.322395716581e+07 -2.847971426704e-02 4.604526536049e+06 1.228135429888e+07 0.000000000000e+00 -5.689893001204e-16 -5.689893001204e-16 0.000000000000e+00 0.000000000000e+00
9.000000000000e+00 1.755571143894e+10 9.301378759842e+07 3.322516927515e+07 -3.044044614728e-02 3.593430582291e+06 1.131067379083e+07 0.000000000000e+00 -5.689893001204e-16 -5.689893001204e-16 0.000000000000e+00 0.000000000000e+00
