# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water content [mol]
# Region: domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: discharge [mol/d]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface-subsurface exchange [mol/d]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: thaw depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: water table depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-water_table_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: perched water table depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-perched_water_table_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow [m3SWE/d]
# Region: surface domain
# Reduction: integral
# Variable: snow-precipitation
# Number of Vectors: 1
# =============================================================================
"time [d]" "water content [mol]" "surface water content [mol]" "snow water content [mol]" "evaporation [m3/d]" "discharge [mol/d]" "surface-subsurface exchange [mol/d]" "thaw depth [m]" "water table depth [m]" "perched water table depth [m]" "rain [m3/d]" "snow [m3SWE/d]"
0.000000000000e+00 1.773063389365e+10 0.000000000000e+00 2.659830958046e+07 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 2.000000000001e-02 2.000000000000e-02 0.000000000000e+00 0.000000000000e+00
1.000000000000e+00 1.773063389366e+10 0.000000000000e+00 2.658864081218e+07 -1.317241632382e-03 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 2.000000000001e-02 2.000000000000e-02 0.000000000000e+00 0.000000000000e+00
2.000000000000e+00 1.773063389366e+10 0.000000000000e+00 2.658201704632e+07 -9.555110727578e-03 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 2.000000000001e-02 2.000000000000e-02 0.000000000000e+00 0.000000000000e+00
3.000000000000e+00 1.773063389366e+10 0.000000000000e+00 2.657024814832e+07 -6.540894451834e-03 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 2.000000000001e-02 2.000000000000e-02 0.000000000000e+00 0.000000000000e+00
4.000000000000e+00 1.773063389366e+10 0.000000000000e+00 2.655882802384e+07 -5.442986117426e-03 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 2.000000000001e-02 2.000000000000e-02 0.000000000000e+00 0.000000000000e+00
5.000000000000e+00 1.773063389366e+10 0.000000000000e+00 3.315379270769e+07 -5.981111713456e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 2.000000000001e-02 2.000000000000e-02 0.000000000000e+00 1.190399983724e+02
6.000000000000e+00 1.773063389366e+10 0.000000000000e+00 3.313681511052e+07 -1.004934112047e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 2.000000000001e-02 2.000000000000e-02 0.000000000000e+00 0.000000000000e+00
7.000000000000e+00 1.773063389365e+10 0.000000000000e+00 3.312646682737e+07 -5.317240645052e-03 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 2.000000000001e-02 2.000000000000e-02 0.000000000000e+00 0.000000000000e+00
8.000000000000e+00 1.773063389365e+10 0.000000000000e+00 3.312760843545e+07 -4.991829514440e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 2.000000000001e-02 2.000000000000e-02 0.000000000000e+00 0.000000000000e+00
9.000000000000e+00 1.773063389365e+10 0.000000000000e+00 3.310472496805e+07 -9.671929933165e-03 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 2.000000000001e-02 2.000000000000e-02 0.000000000000e+00 0.000000000000e+00
