# Observation File: water_balance.csv column names:
# -----------------------------------------------------------------------------
# Observation Name: time [h]
# -----------------------------------------------------------------------------
# Observation Name: runoff generation [mol s^-1]
# Region: surface domain boundary
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: gate intake ponded depth [m]
# Region: gate intake area
# Reduction: average
# Variable: surface-ponded_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: gate intake stage [m]
# Region: gate intake area
# Reduction: average
# Variable: surface-pres_elev
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: detention pond ponded depth [m]
# Region: detention pond
# Reduction: average
# Variable: surface-ponded_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: detention pond stage [m]
# Region: detention pond
# Reduction: average
# Variable: surface-pres_elev
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: precipitation [m s^-1]
# Region: surface domain
# Reduction: average
# Variable: surface-water_source_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: gate flow [mol s^-1]
# Region: gate intake area
# Reduction: integral
# Variable: surface-gate_flow
# Number of Vectors: 1
# =============================================================================
"time [h]","runoff generation [mol s^-1]","gate intake ponded depth [m]","gate intake stage [m]","detention pond ponded depth [m]","detention pond stage [m]","surface water content [mol]","subsurface water content [mol]","precipitation [m s^-1]","gate flow [mol s^-1]"
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.245655838592e+00,0.000000000000e+00,7.339676939121e+00,0.000000000000e+00,2.802298554000e+10,1.332241767793e-07,0.000000000000e+00
1.000000000000e-01,2.485450469657e-02,1.084823956750e-06,8.245656923416e+00,5.051205867448e-05,7.339727451180e+00,4.291330171855e+04,2.802336296347e+10,1.332241767793e-07,0.000000000000e+00
2.000000000000e-01,3.368844714700e-01,1.126935452805e-04,8.245768532138e+00,1.619476894310e-04,7.339838886811e+00,2.218571605752e+05,2.802365870923e+10,1.332241767793e-07,0.000000000000e+00
3.000000000000e-01,1.050016802738e+00,2.818751598372e-04,8.245937713752e+00,2.915206478639e-04,7.339968459769e+00,5.162040780123e+05,2.802383884103e+10,1.332241767793e-07,0.000000000000e+00
4.000000000000e-01,2.311775919666e+00,5.366277316527e-04,8.246192466324e+00,4.401843731161e-04,7.340117123494e+00,8.886558210663e+05,2.802394025741e+10,1.332241767793e-07,0.000000000000e+00
5.000000000000e-01,4.179889521903e+00,8.601033475196e-04,8.246515941940e+00,6.001010223220e-04,7.340277040144e+00,1.297076151622e+06,2.802400509934e+10,1.332241767793e-07,0.000000000000e+00
6.000000000000e-01,6.701869350730e+00,1.252599080924e-03,8.246908437673e+00,7.687669102072e-04,7.340445706031e+00,1.731223274281e+06,2.802404331363e+10,1.332241767793e-07,0.000000000000e+00
7.000000000000e-01,9.860350964849e+00,1.709863309155e-03,8.247365701901e+00,9.442010268145e-04,7.340621140148e+00,2.184735149794e+06,2.802406104735e+10,1.332241767793e-07,0.000000000000e+00
8.000000000000e-01,1.358743339689e+01,2.212425160560e-03,8.247868263753e+00,1.123987179387e-03,7.340800926301e+00,2.650297193216e+06,2.802406574782e+10,1.332241767793e-07,0.000000000000e+00
9.000000000000e-01,1.775131462917e+01,2.756318487480e-03,8.248412157080e+00,1.309215949420e-03,7.340986155071e+00,3.130831583026e+06,2.802405362006e+10,1.332241767793e-07,0.000000000000e+00
1.000000000000e+00,2.228243995205e+01,3.299402317391e-03,8.248955240910e+00,1.497847861672e-03,7.341174786983e+00,3.620136502976e+06,2.802403110443e+10,1.332241767793e-07,0.000000000000e+00
1.100000000000e+00,2.740057628276e+01,5.025096268742e-03,8.250680934861e+00,1.689285289376e-03,7.341366224411e+00,2.715667019828e+07,2.802422525483e+10,6.661208838967e-06,0.000000000000e+00
1.200000000000e+00,3.851348682102e+01,1.256563959494e-02,8.258221478187e+00,1.882855889766e-03,7.341559795011e+00,5.078662474787e+07,2.802432198373e+10,6.661208838967e-06,0.000000000000e+00
