Distance (m),Elevation (m)
0,19.9276264
1,19.9176264
2,19.9076264
3,19.8976264
4,19.8876264
5,19.8776264
6,19.8828441
7,19.8867776
8,19.8888525
9,19.8884998
10,19.8851667
11,19.8783276
12,19.8674933
13,19.8522193
14,19.8321122
15,19.8068342
16,19.7761061
17,19.7397078
18,19.6974769
19,19.6493059
20,19.5951364
21,19.534953
22,19.4687749
23,19.3966467
24,19.3186286
25,19.234786
26,19.1451797
27,19.0498558
28,18.9488378
29,18.8421188
30,18.7296565
31,18.61137
32,18.4871394
33,18.3568074
34,18.0201848
35,17.07
36,16.01
37,15.2
38,14.5
39,14.55
40,15.03
41,16.01
42,16.6757911
43,16.6743626
44,16.4656948
45,16.2501188
46,16.0280884
47,15.8001813
48,15.5670951
49,15.3296406
50,15.0887294
51,14.8453592
52,14.6005959
53,14.3555535
54,14.1113742
55,13.8692067
56,13.6301866
57,13.3954175
58,13.1659538
59,12.9427863
60,12.7268293
61,12.5189109
62,12.3197649
63,12.1300247
64,11.9502196
65,11.780772
66,11.6219963
67,11.4740986
68,11.3371777
69,11.2112269
70,11.0961368
71,10.9916987
72,10.8976094
73,10.8134766
74,10.7388255
75,10.6731065
76,10.615704
77,10.5659457
78,10.5231141
79,10.4864573
80,10.4552019
81,10.4285654
82,10.4057692
83,10.3860519
84,10.3686819
85,10.3529695
86,10.3382785
87,10.3240362
88,10.3097425
89,10.2949765
90,10.2794029
91,10.2627745
92,10.2449341
93,10.2258137
94,10.2054314
95,10.1838871
96,10.161355
97,10.1380755
98,10.1143452
99,10.090505
100,10.0669285
